Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
January,405420513.094844,358900820.135999,95313248.1359999,46519692.9588442,405420513.094844,358900820.135999,95313248.1359999,46519692.9588442 
July,722597264.982961,358900820.135999,95313248.1359999,363696444.846961,722597264.982961,358900820.135999,95313248.1359999,363696444.846961 
July,669528836.9413,358900820.135999,95313248.1359999,310628016.805299,669528836.9413,358900820.135999,95313248.1359999,310628016.805299 
