Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Gas:Facility [J](Monthly),Gas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),Gas:Facility [J](RunPeriod),Gas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
January,12259467599.3652,11223810000.,7121250000.,849546011.0995,186111588.265833,11013226113.3915,11013226113.3915,12259467599.3652,11223810000.,7121250000.,849546011.0995,186111588.265833,11013226113.3915,11013226113.3915,7121250000.,7121250000.,11223810000.,11223810000.,4102560000.,4102560000. 
July,16195853444.4573,11223810000.,7121250000.,463495510.801792,4508547933.65548,766481148.936666,766481148.936666,16195853444.4573,11223810000.,7121250000.,463495510.801792,4508547933.65548,766481148.936666,766481148.936666,7121250000.,7121250000.,11223810000.,11223810000.,4102560000.,4102560000. 
