Time,SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE2-1::Des Heat Load [W],SPACE2-1::Des Sens Cool Load [W],SPACE2-1::Des Heat Mass Flow [kg/s],SPACE2-1::Des Cool Mass Flow [kg/s],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s]
00:15:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
00:30:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
00:45:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
01:00:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
01:15:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
01:30:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
01:45:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
02:00:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
02:15:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
02:30:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
02:45:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
03:00:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
03:15:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
03:30:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
03:45:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
04:00:00,3.948973E+03,0.000000E+00,1.403216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.840098E+03,0.000000E+00,1.364528E-01,0.000000E+00,1.639446E+03,0.000000E+00,5.825568E-02,0.000000E+00,3.116415E+03,0.000000E+00,1.107373E-01,0.000000E+00
