Time,VAV SYS 1:Des Heat Mass Flow [kg/s],VAV SYS 1:Des Cool Mass Flow [kg/s],VAV SYS 1:Des Heat Cap [W],VAV SYS 1:Des Sens Cool Cap [W]
00:15:00,4.559809E-01,2.813702E-01,8.621261E+03,2.761071E+03
00:30:00,4.559809E-01,2.813702E-01,8.621261E+03,2.715691E+03
00:45:00,4.559809E-01,2.813702E-01,8.621261E+03,2.670312E+03
01:00:00,4.559809E-01,2.813702E-01,8.621261E+03,2.624933E+03
01:15:00,4.559809E-01,2.813702E-01,8.621261E+03,2.594680E+03
01:30:00,4.559809E-01,2.813702E-01,8.621261E+03,2.564427E+03
01:45:00,4.559809E-01,2.813702E-01,8.621261E+03,2.534174E+03
02:00:00,4.559809E-01,2.813702E-01,8.621261E+03,2.503921E+03
02:15:00,4.559809E-01,2.813702E-01,8.621261E+03,2.481231E+03
02:30:00,4.559809E-01,2.813702E-01,8.621261E+03,2.458542E+03
02:45:00,4.559809E-01,2.813702E-01,8.621261E+03,2.435852E+03
03:00:00,4.559809E-01,2.813702E-01,8.621261E+03,2.413162E+03
03:15:00,4.559809E-01,2.813702E-01,8.621261E+03,2.390473E+03
03:30:00,4.559809E-01,2.813702E-01,8.621261E+03,2.367783E+03
03:45:00,4.559809E-01,2.813702E-01,8.621261E+03,2.345093E+03
04:00:00,4.559809E-01,2.813702E-01,8.621261E+03,2.322404E+03
04:15:00,4.559809E-01,2.813702E-01,8.621261E+03,2.307277E+03
04:30:00,4.559809E-01,2.813702E-01,8.621261E+03,2.292151E+03
04:45:00,4.559809E-01,2.813702E-01,8.621261E+03,2.277024E+03
05:00:00,4.559809E-01,2.813702E-01,8.621261E+03,2.261898E+03
05:15:00,4.559809E-01,2.813702E-01,8.621261E+03,2.277024E+03
05:30:00,4.559809E-01,2.813702E-01,8.621261E+03,2.292151E+03
05:45:00,4.559809E-01,2.813702E-01,8.621261E+03,2.307277E+03
