include(ExternalProject)

ExternalProject_Add(Kiva
  GIT_REPOSITORY https://github.com/big-ladder/kiva.git
  GIT_TAG "develop"
  SOURCE_DIR "${CMAKE_SOURCE_DIR}/third_party/kiva"
  UPDATE_COMMAND ""
  PATCH_COMMAND ""
  CONFIGURE_COMMAND ""
  BUILD_COMMAND ""
  TEST_COMMAND ""
  INSTALL_COMMAND ""
)
