Key	Display	Name	TimeZone	DST Start	DST End

NAA	(GMT-04:00) Atlantic Time (Canada & Greenland)	North America / Atlantic	-4	2nd Sunday in March	1st Sunday in November
NAB	(GMT-04:00) Atlantic Standard Time (Quebec - Lower North Shore)	North America / Blanc-Sablon	-4	N/A	N/A
NAC	(GMT-06:00) Central Time (US & Canada)	North America / Central	-6	2nd Sunday in March	1st Sunday in November
NAD	(GMT-07:00) Dawson Creek (Canada)	North America / Dawson Creek	-7	N/A	N/A
NAE	(GMT-05:00) Eastern Time (US & Canada)	North America / Eastern	-5	2nd Sunday in March	1st Sunday in November
NAF	(GMT-03:30) Newfoundland	North America / Newfoundland	-3.5	2nd Sunday in March	1st Sunday in November
NAH	(GMT-10:00) Adak	North America / Adak	-10	2nd Sunday in March	1st Sunday in November
NAI	(GMT-05:00) Indiana (East)	North America / Indiana	-5	N/A	N/A
NAK	(GMT-09:00) Alaska	North America / Alaska	-9	2nd Sunday in March	1st Sunday in November
NAM	(GMT-07:00) Mountain Time (US & Canada)	North America / Mountain	-7	2nd Sunday in March	1st Sunday in November
NAP	(GMT-08:00) Pacific Time (US & Canada); Tijuana	North America / Pacific	-8	2nd Sunday in March	1st Sunday in November
NAS	(GMT-06:00) Saskatchewan	North Amercia / Saskatchewan	-6	N/A	N/A
NAZ	(GMT-07:00) Arizona	North America / Arizona	-7	N/A	N/A

AEU	(GMT+08:45) Eucla	Australia / Eucla	8.75	Last Sunday in October	Last Sunday in March
AFE	(GMT+03:00) Nairobi	Africa / East	3	N/A	N/A
AFG	(GMT+04:30) Kabul	Afghanistan	4.5	N/A	N/A
AFS	"(GMT+02:00) Harare, Pretoria"	South Africa	2	N/A	N/A
AFW	(GMT+01:00) West Central Africa	Africa / West Central	1	N/A	N/A
ANM	(GMT+13:00) McMurdo Station	Antarctica	12	Last Sunday in September	1st Sunday in April
ANP	(GMT-04:00) Palmer Station	Antarctica	-4	N/A	N/A
ANS	(GMT+13:00) South Pole	Antarctica	4	N/A	N/A
ARC	(GMT+03:00) Baghdad	Arabian Peninsula / Baghdad	3	N/A	N/A
ARN	"(GMT+04:00) Abu Dhabi, Muscat"	Arabian Peninsula / Abu Dhabi	4	N/A	N/A
ASC	(GMT+06:00) Dhaka	Asia / Central	6	N/A	N/A
ASE	(GMT+08:00) Irkutsk	Asia / East	8	N/A	N/A
ASN	(GMT+07:00) Krasnoyarsk	Asia / North	7	N/A	N/A
ASR	"(GMT+06:00) Almaty, Bishkek"	Asia / North Central	6	N/A	N/A
ASV	(GMT+10:00) Vladivostok	Asia / Vladivostok	10	N/A	N/A
ASW	"(GMT+05:00) Islamabad, Samarkand, Ashgabat"	Asia / West	5	N/A	N/A
AUA	(GMT+09:30) Adelaide	Australia / South	9.5	1st Sunday in October	1st Sunday in April
AUB	(GMT+10:00) Brisbane	Australia / Queensland	10	N/A	N/A
AUC	(GMT+09:30) Darwin	Australia / Northern	9.5	N/A	N/A
AUE	"(GMT+10:00) Canberra, Melbourne, Sydney, Hobart"	Australia / South East	10	1st Sunday in October	1st Sunday in April
AUH	(GMT+10:30) Howe	Australia / Lord Howe Island	10.5	1st Sunday in October	1st Sunday in April
AUN	(GMT+10:30) Norfolk	Pacific / Norfolk Island	11.5	N/A	N/A
