Location Name,State,Country,WBAN,WMO,Latitude,Longitude,TimeZone,Elevation (m)
Climate Zone 1,California,USA,00001,C000001,40.8,-124.2,-8,13
Climate Zone 2,California,USA,00002,C000002,38.4,-122.7,-8,50
Climate Zone 3,California,USA,00003,C000003,37.7,-122.2,-8,2
Climate Zone 4,California,USA,00004,C000004,37.4,-122.4,-8,30
Climate Zone 5,California,USA,00005,C000005,34.9,-120.4,-8,72
Climate Zone 6,California,USA,00006,C000006,33.9,-118.5,-8,30
Climate Zone 7,California,USA,00007,C000007,32.7,-117.2,-8,4
Climate Zone 8,California,USA,00008,C000008,33.6,-117.7,-8,117
Climate Zone 9,California,USA,00009,C000009,34.2,-118.4,-8,200
Climate Zone 10,California,USA,00010,C000010,33.9,-117.2,-8,470
Climate Zone 11,California,USA,00011,C000011,40.2,-122.2,-8,104
Climate Zone 12,California,USA,00012,C000012,38.5,-121.5,-8,5
Climate Zone 13,California,USA,00013,C000013,36.8,-119.7,-8,100
Climate Zone 14,California,USA,00014,C000014,35.7,-117.7,-8,699
Climate Zone 15,California,USA,00015,C000015,32.8,-115.6,-8,-9
Climate Zone 16,California,USA,00016,C000016,41.3,-122.3,-8,1080
