Climate zone 3 with externalities,"""Created April 18, 2006""",Nominal nonres $0.145972/kBtu,Nominal res $0.164171/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
11.69380076,8.788809979,181.08 ,165.73 ,237.72 ,222.69 
11.30600685,8.444003162,181.08 ,165.73 ,237.72 ,222.69 
10.41806752,7.654492227,181.08 ,165.73 ,237.72 ,222.69 
10.11363118,7.383802763,181.08 ,165.73 ,237.72 ,222.69 
10.19698875,7.457920116,181.08 ,165.73 ,237.72 ,222.69 
9.127837309,6.5072845,181.08 ,165.73 ,237.72 ,222.69 
11.31325533,8.450448149,181.08 ,165.73 ,237.72 ,222.69 
11.40023714,8.527787996,181.08 ,165.73 ,237.72 ,222.69 
12.81731583,9.787782999,181.08 ,165.73 ,237.72 ,222.69 
13.36095215,10.27115704,181.08 ,165.73 ,237.72 ,222.69 
12.81731583,9.787782999,181.08 ,165.73 ,237.72 ,222.69 
13.50229759,10.39683429,181.08 ,165.73 ,237.72 ,222.69 
12.93329157,9.890902794,181.08 ,165.73 ,237.72 ,222.69 
12.81731583,9.787782999,181.08 ,165.73 ,237.72 ,222.69 
11.51983713,8.634130285,181.08 ,165.73 ,237.72 ,222.69 
10.87472203,8.060526422,181.08 ,165.73 ,237.72 ,222.69 
10.97982505,8.153978737,181.08 ,165.73 ,237.72 ,222.69 
13.50229759,10.39683429,181.08 ,165.73 ,237.72 ,222.69 
13.50229759,10.39683429,181.08 ,165.73 ,237.72 ,222.69 
12.91517036,9.874790326,181.08 ,165.73 ,237.72 ,222.69 
12.74120674,9.720110633,181.08 ,165.73 ,237.72 ,222.69 
12.00186134,9.062721936,181.08 ,165.73 ,237.72 ,222.69 
12.08884315,9.140061783,181.08 ,165.73 ,237.72 ,222.69 
10.64639477,7.857509324,181.08 ,165.73 ,237.72 ,222.69 
13.23772792,10.16159226,181.08 ,165.73 ,237.72 ,222.69 
13.2703461,10.1905947,181.08 ,165.73 ,237.72 ,222.69 
12.86443097,9.829675416,181.08 ,165.73 ,237.72 ,222.69 
13.06376429,10.00691256,181.08 ,165.73 ,237.72 ,222.69 
13.41531578,10.31949445,181.08 ,165.73 ,237.72 ,222.69 
16.37438368,12.9505486,181.08 ,165.73 ,237.72 ,222.69 
17.04174178,13.54392982,181.08 ,165.73 ,237.72 ,222.69 
17.77870165,14.19919742,181.08 ,165.73 ,237.72 ,222.69 
18.162339,14.54030843,181.08 ,165.73 ,237.72 ,222.69 
17.98621447,14.38370738,181.08 ,165.73 ,237.72 ,222.69 
17.5291294,13.97729034,181.08 ,165.73 ,237.72 ,222.69 
17.5291294,13.97729034,181.08 ,165.73 ,237.72 ,222.69 
17.31945734,13.79086051,181.08 ,165.73 ,237.72 ,222.69 
17.31945734,13.79086051,181.08 ,165.73 ,237.72 ,222.69 
17.06365744,13.56341612,181.08 ,165.73 ,237.72 ,222.69 
16.83301818,13.35834331,181.08 ,165.73 ,237.72 ,222.69 
17.31945734,13.79086051,181.08 ,165.73 ,237.72 ,222.69 
22.24675059,18.17196153,181.08 ,165.73 ,237.72 ,222.69 
20.98871827,17.05338255,181.08 ,165.73 ,237.72 ,222.69 
18.78716171,15.09586933,181.08 ,165.73 ,237.72 ,222.69 
17.42429337,13.88407543,181.08 ,165.73 ,237.72 ,222.69 
16.65279074,13.19809414,181.08 ,165.73 ,237.72 ,222.69 
16.75105205,13.28546315,181.08 ,165.73 ,237.72 ,222.69 
15.46956073,12.1460256,181.08 ,165.73 ,237.72 ,222.69 
14.18727936,11.00588558,181.08 ,165.73 ,237.72 ,222.69 
13.06376429,10.00691256,181.08 ,165.73 ,237.72 ,222.69 
12.85355825,9.820007935,181.08 ,165.73 ,237.72 ,222.69 
12.85355825,9.820007935,181.08 ,165.73 ,237.72 ,222.69 
13.93720665,10.78353353,181.08 ,165.73 ,237.72 ,222.69 
16.8165596,13.34370916,181.08 ,165.73 ,237.72 ,222.69 
17.70909988,14.13731104,181.08 ,165.73 ,237.72 ,222.69 
17.82373808,14.23924155,181.08 ,165.73 ,237.72 ,222.69 
18.13298491,14.51420826,181.08 ,165.73 ,237.72 ,222.69 
18.03234232,14.42472194,181.08 ,165.73 ,237.72 ,222.69 
18.019762,14.41353615,181.08 ,165.73 ,237.72 ,222.69 
18.00298824,14.39862176,181.08 ,165.73 ,237.72 ,222.69 
17.7849293,14.20473474,181.08 ,165.73 ,237.72 ,222.69 
17.7849293,14.20473474,181.08 ,165.73 ,237.72 ,222.69 
17.13494594,13.62680226,181.08 ,165.73 ,237.72 ,222.69 
17.14752626,13.63798805,181.08 ,165.73 ,237.72 ,222.69 
17.71783424,14.14507719,181.08 ,165.73 ,237.72 ,222.69 
21.5128984,17.51945713,181.08 ,165.73 ,237.72 ,222.69 
20.25486608,16.40087814,181.08 ,165.73 ,237.72 ,222.69 
17.73880145,14.16372018,181.08 ,165.73 ,237.72 ,222.69 
17.71783424,14.14507719,181.08 ,165.73 ,237.72 ,222.69 
16.83703071,13.36191104,181.08 ,165.73 ,237.72 ,222.69 
16.22289748,12.81585471,181.08 ,165.73 ,237.72 ,222.69 
14.58957024,11.36358238,181.08 ,165.73 ,237.72 ,222.69 
14.23077027,11.04455551,181.08 ,165.73 ,237.72 ,222.69 
13.85384908,10.70941617,181.08 ,165.73 ,237.72 ,222.69 
13.06376429,10.00691256,181.08 ,165.73 ,237.72 ,222.69 
13.36457639,10.27437953,181.08 ,165.73 ,237.72 ,222.69 
14.7407893,11.49803875,181.08 ,165.73 ,237.72 ,222.69 
17.05811867,13.55849132,181.08 ,165.73 ,237.72 ,222.69 
18.43377709,14.78165751,181.08 ,165.73 ,237.72 ,222.69 
17.24645285,13.7259486,181.08 ,165.73 ,237.72 ,222.69 
17.92331286,14.32777843,181.08 ,165.73 ,237.72 ,222.69 
18.07008329,14.45827931,181.08 ,165.73 ,237.72 ,222.69 
18.019762,14.41353615,181.08 ,165.73 ,237.72 ,222.69 
17.9987948,14.39489317,181.08 ,165.73 ,237.72 ,222.69 
17.00494926,13.51121577,181.08 ,165.73 ,237.72 ,222.69 
17.00494926,13.51121577,181.08 ,165.73 ,237.72 ,222.69 
16.79527721,13.32478594,181.08 ,165.73 ,237.72 ,222.69 
16.37593311,12.95192628,181.08 ,165.73 ,237.72 ,222.69 
16.69044119,13.23157102,181.08 ,165.73 ,237.72 ,222.69 
18.78716171,15.09586933,181.08 ,165.73 ,237.72 ,222.69 
18.30491599,14.66708072,181.08 ,165.73 ,237.72 ,222.69 
17.5291294,13.97729034,181.08 ,165.73 ,237.72 ,222.69 
17.5291294,13.97729034,181.08 ,165.73 ,237.72 ,222.69 
16.63231963,13.17989226,181.08 ,165.73 ,237.72 ,222.69 
16.83703071,13.36191104,181.08 ,165.73 ,237.72 ,222.69 
15.49822028,12.17150823,181.08 ,165.73 ,237.72 ,222.69 
12.12508557,9.172286719,181.08 ,165.73 ,237.72 ,222.69 
12.5998613,9.594433382,181.08 ,165.73 ,237.72 ,222.69 
12.12508557,9.172286719,181.08 ,165.73 ,237.72 ,222.69 
12.08884315,9.140061783,181.08 ,165.73 ,237.72 ,222.69 
11.22627352,8.373108303,181.08 ,165.73 ,237.72 ,222.69 
10.24047965,7.49659004,181.08 ,165.73 ,237.72 ,222.69 
9.084346404,6.468614577,181.08 ,165.73 ,237.72 ,222.69 
10.87834627,8.063748916,181.08 ,165.73 ,237.72 ,222.69 
13.13987338,10.07458493,181.08 ,165.73 ,237.72 ,222.69 
13.14349762,10.07780742,181.08 ,165.73 ,237.72 ,222.69 
13.50592184,10.40005679,181.08 ,165.73 ,237.72 ,222.69 
13.50954608,10.40327928,181.08 ,165.73 ,237.72 ,222.69 
13.86834605,10.72230615,181.08 ,165.73 ,237.72 ,222.69 
13.14349762,10.07780742,181.08 ,165.73 ,237.72 ,222.69 
13.13987338,10.07458493,181.08 ,165.73 ,237.72 ,222.69 
12.77744916,9.752335569,181.08 ,165.73 ,237.72 ,222.69 
13.13987338,10.07458493,181.08 ,165.73 ,237.72 ,222.69 
