Climate zone 6 with externalities,"""Created April 18, 2006""",Nominal nonres $0.145972/kBtu,Nominal res $0.164171/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
13.97358529,8.668632615,180.82 ,165.73 ,237.72 ,222.69 
13.57824829,8.317118864,180.82 ,165.73 ,237.72 ,222.69 
12.6730374,7.51225093,180.82 ,165.73 ,237.72 ,222.69 
12.36267939,7.23629621,180.82 ,165.73 ,237.72 ,222.69 
12.44765837,7.31185524,180.82 ,165.73 ,237.72 ,222.69 
11.35771057,6.342728544,180.82 ,165.73 ,237.72 ,222.69 
13.58563777,8.323689215,180.82 ,165.73 ,237.72 ,222.69 
13.67431149,8.40253342,180.82 ,165.73 ,237.72 ,222.69 
15.11895417,9.68703694,180.82 ,165.73 ,237.72 ,222.69 
15.67316491,10.17981323,180.82 ,165.73 ,237.72 ,222.69 
15.11895417,9.68703694,180.82 ,165.73 ,237.72 ,222.69 
15.81725971,10.30793506,180.82 ,165.73 ,237.72 ,222.69 
15.23718579,9.792162547,180.82 ,165.73 ,237.72 ,222.69 
15.11895417,9.68703694,180.82 ,165.73 ,237.72 ,222.69 
13.79623785,8.510944203,180.82 ,165.73 ,237.72 ,222.69 
13.13857443,7.92618301,180.82 ,165.73 ,237.72 ,222.69 
13.24572184,8.021453092,180.82 ,165.73 ,237.72 ,222.69 
15.81725971,10.30793506,180.82 ,165.73 ,237.72 ,222.69 
15.81725971,10.30793506,180.82 ,165.73 ,237.72 ,222.69 
15.2187121,9.775736671,180.82 ,165.73 ,237.72 ,222.69 
15.04136466,9.61804826,180.82 ,165.73 ,237.72 ,222.69 
14.28763805,8.94787251,180.82 ,165.73 ,237.72 ,222.69 
14.37631176,9.026716716,180.82 ,165.73 ,237.72 ,222.69 
12.90580592,7.71921697,180.82 ,165.73 ,237.72 ,222.69 
15.54754381,10.06811727,180.82 ,165.73 ,237.72 ,222.69 
15.58079645,10.09768384,180.82 ,165.73 ,237.72 ,222.69 
15.16698576,9.729744218,180.82 ,165.73 ,237.72 ,222.69 
15.37019637,9.910428856,180.82 ,165.73 ,237.72 ,222.69 
15.72858599,10.22909085,180.82 ,165.73 ,237.72 ,222.69 
18.55159527,12.73916855,180.82 ,165.73 ,237.72 ,222.69 
19.5030578,13.58516111,180.82 ,165.73 ,237.72 ,222.69 
20.18060068,14.18759813,180.82 ,165.73 ,237.72 ,222.69 
20.35409871,14.34186383,180.82 ,165.73 ,237.72 ,222.69 
20.23989308,14.24031794,180.82 ,165.73 ,237.72 ,222.69 
19.78013317,13.83152257,180.82 ,165.73 ,237.72 ,222.69 
19.78013317,13.83152257,180.82 ,165.73 ,237.72 ,222.69 
19.56923412,13.64400177,180.82 ,165.73 ,237.72 ,222.69 
19.56923412,13.64400177,180.82 ,165.73 ,237.72 ,222.69 
19.31193729,13.41522638,180.82 ,165.73 ,237.72 ,222.69 
19.07994835,13.20895349,180.82 ,165.73 ,237.72 ,222.69 
19.56923412,13.64400177,180.82 ,165.73 ,237.72 ,222.69 
24.52536161,18.05074075,180.82 ,165.73 ,237.72 ,222.69 
23.25996736,16.9256159,180.82 ,165.73 ,237.72 ,222.69 
21.04552742,14.95664742,180.82 ,165.73 ,237.72 ,222.69 
19.67468364,13.73776217,180.82 ,165.73 ,237.72 ,222.69 
19.10459569,13.23086867,180.82 ,165.73 ,237.72 ,222.69 
19.09085147,13.218648,180.82 ,165.73 ,237.72 ,222.69 
17.72374467,12.00308548,180.82 ,165.73 ,237.72 ,222.69 
16.51556525,10.92883318,180.82 ,165.73 ,237.72 ,222.69 
15.37019637,9.910428856,180.82 ,165.73 ,237.72 ,222.69 
15.15590155,9.719888692,180.82 ,165.73 ,237.72 ,222.69 
15.15590155,9.719888692,180.82 ,165.73 ,237.72 ,222.69 
16.2606283,10.70215609,180.82 ,165.73 ,237.72 ,222.69 
18.93931358,13.08390814,180.82 ,165.73 ,237.72 ,222.69 
20.15526011,14.16506656,180.82 ,165.73 ,237.72 ,222.69 
20.30417635,14.29747539,180.82 ,165.73 ,237.72 ,222.69 
20.38752241,14.3715825,180.82 ,165.73 ,237.72 ,222.69 
20.28629087,14.28157251,180.82 ,165.73 ,237.72 ,222.69 
20.27363692,14.27032126,180.82 ,165.73 ,237.72 ,222.69 
20.256765,14.2553196,180.82 ,165.73 ,237.72 ,222.69 
20.03743,14.06029796,180.82 ,165.73 ,237.72 ,222.69 
20.03743,14.06029796,180.82 ,165.73 ,237.72 ,222.69 
19.38364297,13.47898346,180.82 ,165.73 ,237.72 ,222.69 
19.39629691,13.4902347,180.82 ,165.73 ,237.72 ,222.69 
19.9699423,14.0002913,180.82 ,165.73 ,237.72 ,222.69 
23.78721497,17.39441792,180.82 ,165.73 ,237.72 ,222.69 
22.52182071,16.26929307,180.82 ,165.73 ,237.72 ,222.69 
19.99103221,14.01904338,180.82 ,165.73 ,237.72 ,222.69 
19.9699423,14.0002913,180.82 ,165.73 ,237.72 ,222.69 
19.2933409,13.3986914,180.82 ,165.73 ,237.72 ,222.69 
18.6641902,12.83928229,180.82 ,165.73 ,237.72 ,222.69 
16.986455,11.34752464,180.82 ,165.73 ,237.72 ,222.69 
16.55990211,10.96825528,180.82 ,165.73 ,237.72 ,222.69 
16.17564932,10.62659706,180.82 ,165.73 ,237.72 ,222.69 
15.37019637,9.910428856,180.82 ,165.73 ,237.72 ,222.69 
15.67685965,10.1830984,180.82 ,165.73 ,237.72 ,222.69 
17.06608125,11.41832429,180.82 ,165.73 ,237.72 ,222.69 
19.38094644,13.47658584,180.82 ,165.73 ,237.72 ,222.69 
20.74677883,14.69101522,180.82 ,165.73 ,237.72 ,222.69 
19.7127747,13.77163082,180.82 ,165.73 ,237.72 ,222.69 
20.17662336,14.18406169,180.82 ,165.73 ,237.72 ,222.69 
20.32425269,14.31532626,180.82 ,165.73 ,237.72 ,222.69 
20.27363692,14.27032126,180.82 ,165.73 ,237.72 ,222.69 
20.25254702,14.25156918,180.82 ,165.73 ,237.72 ,222.69 
19.25288556,13.36272056,180.82 ,165.73 ,237.72 ,222.69 
19.25288556,13.36272056,180.82 ,165.73 ,237.72 ,222.69 
19.04198652,13.17519975,180.82 ,165.73 ,237.72 ,222.69 
18.62018843,12.80015813,180.82 ,165.73 ,237.72 ,222.69 
18.936537,13.08143934,180.82 ,165.73 ,237.72 ,222.69 
21.04552742,14.95664742,180.82 ,165.73 ,237.72 ,222.69 
20.56045962,14.52534956,180.82 ,165.73 ,237.72 ,222.69 
19.78013317,13.83152257,180.82 ,165.73 ,237.72 ,222.69 
19.78013317,13.83152257,180.82 ,165.73 ,237.72 ,222.69 
19.083624,13.2122217,180.82 ,165.73 ,237.72 ,222.69 
19.2933409,13.3986914,180.82 ,165.73 ,237.72 ,222.69 
17.92179237,12.17917953,180.82 ,165.73 ,237.72 ,222.69 
14.41325915,9.059568469,180.82 ,165.73 ,237.72 ,222.69 
14.89726987,9.489926425,180.82 ,165.73 ,237.72 ,222.69 
14.41325915,9.059568469,180.82 ,165.73 ,237.72 ,222.69 
14.37631176,9.026716716,180.82 ,165.73 ,237.72 ,222.69 
13.49696405,8.244845009,180.82 ,165.73 ,237.72 ,222.69 
12.49199523,7.351277343,180.82 ,165.73 ,237.72 ,222.69 
11.31337371,6.303306441,180.82 ,165.73 ,237.72 ,222.69 
13.14226917,7.929468186,180.82 ,165.73 ,237.72 ,222.69 
15.44778587,9.979417536,180.82 ,165.73 ,237.72 ,222.69 
15.45148061,9.982702711,180.82 ,165.73 ,237.72 ,222.69 
15.82095444,10.31122024,180.82 ,165.73 ,237.72 ,222.69 
15.82464918,10.31450541,180.82 ,165.73 ,237.72 ,222.69 
16.19042827,10.63973776,180.82 ,165.73 ,237.72 ,222.69 
15.45148061,9.982702711,180.82 ,165.73 ,237.72 ,222.69 
15.44778587,9.979417536,180.82 ,165.73 ,237.72 ,222.69 
15.07831204,9.650900012,180.82 ,165.73 ,237.72 ,222.69 
15.44778587,9.979417536,180.82 ,165.73 ,237.72 ,222.69 
