Climate zone 14 with externalities,"""Created April 18, 2006""",Nominal nonres $0.145972/kBtu,Nominal res $0.164171/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
13.80760451,8.531940159,180.82 ,165.73 ,237.72 ,222.69 
13.41226751,8.180426408,180.82 ,165.73 ,237.72 ,222.69 
12.50705662,7.375558474,180.82 ,165.73 ,237.72 ,222.69 
12.1966986,7.099603754,180.82 ,165.73 ,237.72 ,222.69 
12.28167759,7.175162784,180.82 ,165.73 ,237.72 ,222.69 
11.19172978,6.206036088,180.82 ,165.73 ,237.72 ,222.69 
13.41965698,8.186996759,180.82 ,165.73 ,237.72 ,222.69 
13.5083307,8.265840964,180.82 ,165.73 ,237.72 ,222.69 
14.95297338,9.550344484,180.82 ,165.73 ,237.72 ,222.69 
15.50718413,10.04312077,180.82 ,165.73 ,237.72 ,222.69 
14.95297338,9.550344484,180.82 ,165.73 ,237.72 ,222.69 
15.65127892,10.1712426,180.82 ,165.73 ,237.72 ,222.69 
15.07120501,9.655470091,180.82 ,165.73 ,237.72 ,222.69 
14.95297338,9.550344484,180.82 ,165.73 ,237.72 ,222.69 
13.63025707,8.374251747,180.82 ,165.73 ,237.72 ,222.69 
12.97259365,7.789490554,180.82 ,165.73 ,237.72 ,222.69 
13.07974106,7.884760636,180.82 ,165.73 ,237.72 ,222.69 
15.65127892,10.1712426,180.82 ,165.73 ,237.72 ,222.69 
15.65127892,10.1712426,180.82 ,165.73 ,237.72 ,222.69 
15.05273132,9.639044215,180.82 ,165.73 ,237.72 ,222.69 
14.87538388,9.481355804,180.82 ,165.73 ,237.72 ,222.69 
14.12165726,8.811180054,180.82 ,165.73 ,237.72 ,222.69 
14.21033098,8.89002426,180.82 ,165.73 ,237.72 ,222.69 
12.73982514,7.582524514,180.82 ,165.73 ,237.72 ,222.69 
15.38156303,9.931424812,180.82 ,165.73 ,237.72 ,222.69 
15.41481567,9.960991389,180.82 ,165.73 ,237.72 ,222.69 
15.00100498,9.593051762,180.82 ,165.73 ,237.72 ,222.69 
15.20421559,9.7737364,180.82 ,165.73 ,237.72 ,222.69 
15.5626052,10.0923984,180.82 ,165.73 ,237.72 ,222.69 
18.38561449,12.60247609,180.82 ,165.73 ,237.72 ,222.69 
19.33707701,13.44846865,180.82 ,165.73 ,237.72 ,222.69 
20.0146199,14.05090567,180.82 ,165.73 ,237.72 ,222.69 
20.18811793,14.20517138,180.82 ,165.73 ,237.72 ,222.69 
20.07391229,14.10362548,180.82 ,165.73 ,237.72 ,222.69 
19.61415238,13.69483012,180.82 ,165.73 ,237.72 ,222.69 
19.61415238,13.69483012,180.82 ,165.73 ,237.72 ,222.69 
19.40325334,13.50730931,180.82 ,165.73 ,237.72 ,222.69 
19.40325334,13.50730931,180.82 ,165.73 ,237.72 ,222.69 
19.14595651,13.27853393,180.82 ,165.73 ,237.72 ,222.69 
18.91396756,13.07226104,180.82 ,165.73 ,237.72 ,222.69 
19.40325334,13.50730931,180.82 ,165.73 ,237.72 ,222.69 
24.35938083,17.91404829,180.82 ,165.73 ,237.72 ,222.69 
23.09398658,16.78892344,180.82 ,165.73 ,237.72 ,222.69 
20.87954664,14.81995496,180.82 ,165.73 ,237.72 ,222.69 
19.50870286,13.60106971,180.82 ,165.73 ,237.72 ,222.69 
18.9386149,13.09417621,180.82 ,165.73 ,237.72 ,222.69 
18.92487069,13.08195555,180.82 ,165.73 ,237.72 ,222.69 
17.55776389,11.86639303,180.82 ,165.73 ,237.72 ,222.69 
16.34958446,10.79214072,180.82 ,165.73 ,237.72 ,222.69 
15.20421559,9.7737364,180.82 ,165.73 ,237.72 ,222.69 
14.98992077,9.583196236,180.82 ,165.73 ,237.72 ,222.69 
14.98992077,9.583196236,180.82 ,165.73 ,237.72 ,222.69 
16.09464752,10.56546363,180.82 ,165.73 ,237.72 ,222.69 
18.77333279,12.94721568,180.82 ,165.73 ,237.72 ,222.69 
19.98927933,14.02837411,180.82 ,165.73 ,237.72 ,222.69 
20.13819557,14.16078293,180.82 ,165.73 ,237.72 ,222.69 
20.22154162,14.23489004,180.82 ,165.73 ,237.72 ,222.69 
20.12031008,14.14488006,180.82 ,165.73 ,237.72 ,222.69 
20.10765614,14.13362881,180.82 ,165.73 ,237.72 ,222.69 
20.09078422,14.11862714,180.82 ,165.73 ,237.72 ,222.69 
19.87144921,13.9236055,180.82 ,165.73 ,237.72 ,222.69 
19.87144921,13.9236055,180.82 ,165.73 ,237.72 ,222.69 
19.21766218,13.342291,180.82 ,165.73 ,237.72 ,222.69 
19.23031613,13.35354225,180.82 ,165.73 ,237.72 ,222.69 
19.80396152,13.86359885,180.82 ,165.73 ,237.72 ,222.69 
23.62123418,17.25772546,180.82 ,165.73 ,237.72 ,222.69 
22.35583993,16.13260062,180.82 ,165.73 ,237.72 ,222.69 
19.82505142,13.88235093,180.82 ,165.73 ,237.72 ,222.69 
19.80396152,13.86359885,180.82 ,165.73 ,237.72 ,222.69 
19.12736011,13.26199895,180.82 ,165.73 ,237.72 ,222.69 
18.49820942,12.70258983,180.82 ,165.73 ,237.72 ,222.69 
16.82047422,11.21083218,180.82 ,165.73 ,237.72 ,222.69 
16.39392132,10.83156283,180.82 ,165.73 ,237.72 ,222.69 
16.00966854,10.4899046,180.82 ,165.73 ,237.72 ,222.69 
15.20421559,9.7737364,180.82 ,165.73 ,237.72 ,222.69 
15.51087887,10.04640595,180.82 ,165.73 ,237.72 ,222.69 
16.90010047,11.28163184,180.82 ,165.73 ,237.72 ,222.69 
19.21496565,13.33989338,180.82 ,165.73 ,237.72 ,222.69 
20.58079805,14.55432276,180.82 ,165.73 ,237.72 ,222.69 
19.54679391,13.63493836,180.82 ,165.73 ,237.72 ,222.69 
20.01064258,14.04736924,180.82 ,165.73 ,237.72 ,222.69 
20.15827191,14.1786338,180.82 ,165.73 ,237.72 ,222.69 
20.10765614,14.13362881,180.82 ,165.73 ,237.72 ,222.69 
20.08656624,14.11487673,180.82 ,165.73 ,237.72 ,222.69 
19.08690478,13.2260281,180.82 ,165.73 ,237.72 ,222.69 
19.08690478,13.2260281,180.82 ,165.73 ,237.72 ,222.69 
18.87600574,13.03850729,180.82 ,165.73 ,237.72 ,222.69 
18.45420765,12.66346568,180.82 ,165.73 ,237.72 ,222.69 
18.77055621,12.94474689,180.82 ,165.73 ,237.72 ,222.69 
20.87954664,14.81995496,180.82 ,165.73 ,237.72 ,222.69 
20.39447884,14.38865711,180.82 ,165.73 ,237.72 ,222.69 
19.61415238,13.69483012,180.82 ,165.73 ,237.72 ,222.69 
19.61415238,13.69483012,180.82 ,165.73 ,237.72 ,222.69 
18.91764321,13.07552924,180.82 ,165.73 ,237.72 ,222.69 
19.12736011,13.26199895,180.82 ,165.73 ,237.72 ,222.69 
17.75581159,12.04248707,180.82 ,165.73 ,237.72 ,222.69 
14.24727837,8.922876013,180.82 ,165.73 ,237.72 ,222.69 
14.73128908,9.353233969,180.82 ,165.73 ,237.72 ,222.69 
14.24727837,8.922876013,180.82 ,165.73 ,237.72 ,222.69 
14.21033098,8.89002426,180.82 ,165.73 ,237.72 ,222.69 
13.33098327,8.108152553,180.82 ,165.73 ,237.72 ,222.69 
12.32601445,7.214584887,180.82 ,165.73 ,237.72 ,222.69 
11.14739292,6.166613985,180.82 ,165.73 ,237.72 ,222.69 
12.97628839,7.79277573,180.82 ,165.73 ,237.72 ,222.69 
15.28180509,9.84272508,180.82 ,165.73 ,237.72 ,222.69 
15.28549983,9.846010255,180.82 ,165.73 ,237.72 ,222.69 
15.65497366,10.17452778,180.82 ,165.73 ,237.72 ,222.69 
15.6586684,10.17781295,180.82 ,165.73 ,237.72 ,222.69 
16.02444749,10.5030453,180.82 ,165.73 ,237.72 ,222.69 
15.28549983,9.846010255,180.82 ,165.73 ,237.72 ,222.69 
15.28180509,9.84272508,180.82 ,165.73 ,237.72 ,222.69 
14.91233126,9.514207556,180.82 ,165.73 ,237.72 ,222.69 
15.28180509,9.84272508,180.82 ,165.73 ,237.72 ,222.69 
