Climate zone 16 with externalities,"""Created April 18, 2006""",Nominal nonres $0.145972/kBtu,Nominal res $0.164171/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
11.10524823,8.362838931,181.08 ,165.73 ,237.72 ,222.69 
10.71745432,8.018032114,181.08 ,165.73 ,237.72 ,222.69 
9.829514994,7.228521179,181.08 ,165.73 ,237.72 ,222.69 
9.525078653,6.957831716,181.08 ,165.73 ,237.72 ,222.69 
9.608436223,7.031949069,181.08 ,165.73 ,237.72 ,222.69 
8.539284786,6.081313453,181.08 ,165.73 ,237.72 ,222.69 
10.72470281,8.024477102,181.08 ,165.73 ,237.72 ,222.69 
10.81168462,8.101816948,181.08 ,165.73 ,237.72 ,222.69 
12.2287633,9.361811951,181.08 ,165.73 ,237.72 ,222.69 
12.77239963,9.845185993,181.08 ,165.73 ,237.72 ,222.69 
12.2287633,9.361811951,181.08 ,165.73 ,237.72 ,222.69 
12.91374507,9.970863244,181.08 ,165.73 ,237.72 ,222.69 
12.34473905,9.464931747,181.08 ,165.73 ,237.72 ,222.69 
12.2287633,9.361811951,181.08 ,165.73 ,237.72 ,222.69 
10.93128461,8.208159238,181.08 ,165.73 ,237.72 ,222.69 
10.28616951,7.634555374,181.08 ,165.73 ,237.72 ,222.69 
10.39127253,7.728007689,181.08 ,165.73 ,237.72 ,222.69 
12.91374507,9.970863244,181.08 ,165.73 ,237.72 ,222.69 
12.91374507,9.970863244,181.08 ,165.73 ,237.72 ,222.69 
12.32661784,9.448819279,181.08 ,165.73 ,237.72 ,222.69 
12.15265422,9.294139585,181.08 ,165.73 ,237.72 ,222.69 
11.41330882,8.636750888,181.08 ,165.73 ,237.72 ,222.69 
11.50029063,8.714090735,181.08 ,165.73 ,237.72 ,222.69 
10.05784225,7.431538277,181.08 ,165.73 ,237.72 ,222.69 
12.64917539,9.73562121,181.08 ,165.73 ,237.72 ,222.69 
12.68179357,9.764623653,181.08 ,165.73 ,237.72 ,222.69 
12.27587845,9.403704368,181.08 ,165.73 ,237.72 ,222.69 
12.47521177,9.580941517,181.08 ,165.73 ,237.72 ,222.69 
12.82676326,9.893523397,181.08 ,165.73 ,237.72 ,222.69 
15.78583115,12.52457755,181.08 ,165.73 ,237.72 ,222.69 
16.45318926,13.11795877,181.08 ,165.73 ,237.72 ,222.69 
17.19014913,13.77322637,181.08 ,165.73 ,237.72 ,222.69 
17.57378647,14.11433739,181.08 ,165.73 ,237.72 ,222.69 
17.39766195,13.95773633,181.08 ,165.73 ,237.72 ,222.69 
16.94057687,13.5513193,181.08 ,165.73 ,237.72 ,222.69 
16.94057687,13.5513193,181.08 ,165.73 ,237.72 ,222.69 
16.73090482,13.36488947,181.08 ,165.73 ,237.72 ,222.69 
16.73090482,13.36488947,181.08 ,165.73 ,237.72 ,222.69 
16.47510492,13.13744507,181.08 ,165.73 ,237.72 ,222.69 
16.24446566,12.93237226,181.08 ,165.73 ,237.72 ,222.69 
16.73090482,13.36488947,181.08 ,165.73 ,237.72 ,222.69 
21.65819806,17.74599048,181.08 ,165.73 ,237.72 ,222.69 
20.40016575,16.6274115,181.08 ,165.73 ,237.72 ,222.69 
18.19860919,14.66989828,181.08 ,165.73 ,237.72 ,222.69 
16.83574085,13.45810438,181.08 ,165.73 ,237.72 ,222.69 
16.06423821,12.77212309,181.08 ,165.73 ,237.72 ,222.69 
16.16249953,12.85949211,181.08 ,165.73 ,237.72 ,222.69 
14.8810082,11.72005455,181.08 ,165.73 ,237.72 ,222.69 
13.59872684,10.57991454,181.08 ,165.73 ,237.72 ,222.69 
12.47521177,9.580941517,181.08 ,165.73 ,237.72 ,222.69 
12.26500572,9.394036887,181.08 ,165.73 ,237.72 ,222.69 
12.26500572,9.394036887,181.08 ,165.73 ,237.72 ,222.69 
13.34865413,10.35756248,181.08 ,165.73 ,237.72 ,222.69 
16.22800707,12.91773812,181.08 ,165.73 ,237.72 ,222.69 
17.12054736,13.71133999,181.08 ,165.73 ,237.72 ,222.69 
17.23518556,13.81327051,181.08 ,165.73 ,237.72 ,222.69 
17.54443239,14.08823721,181.08 ,165.73 ,237.72 ,222.69 
17.4437898,13.99875089,181.08 ,165.73 ,237.72 ,222.69 
17.43120948,13.9875651,181.08 ,165.73 ,237.72 ,222.69 
17.41443571,13.97265071,181.08 ,165.73 ,237.72 ,222.69 
17.19637678,13.77876369,181.08 ,165.73 ,237.72 ,222.69 
17.19637678,13.77876369,181.08 ,165.73 ,237.72 ,222.69 
16.54639341,13.20083122,181.08 ,165.73 ,237.72 ,222.69 
16.55897374,13.21201701,181.08 ,165.73 ,237.72 ,222.69 
17.12928172,13.71910614,181.08 ,165.73 ,237.72 ,222.69 
20.92434588,17.09348608,181.08 ,165.73 ,237.72 ,222.69 
19.66631356,15.97490709,181.08 ,165.73 ,237.72 ,222.69 
17.15024893,13.73774913,181.08 ,165.73 ,237.72 ,222.69 
17.12928172,13.71910614,181.08 ,165.73 ,237.72 ,222.69 
16.24847818,12.93593999,181.08 ,165.73 ,237.72 ,222.69 
15.63434496,12.38988366,181.08 ,165.73 ,237.72 ,222.69 
14.00101772,10.93761133,181.08 ,165.73 ,237.72 ,222.69 
13.64221774,10.61858446,181.08 ,165.73 ,237.72 ,222.69 
13.26529656,10.28344512,181.08 ,165.73 ,237.72 ,222.69 
12.47521177,9.580941517,181.08 ,165.73 ,237.72 ,222.69 
12.77602387,9.848408487,181.08 ,165.73 ,237.72 ,222.69 
14.15223678,11.0720677,181.08 ,165.73 ,237.72 ,222.69 
16.46956614,13.13252027,181.08 ,165.73 ,237.72 ,222.69 
17.84522456,14.35568647,181.08 ,165.73 ,237.72 ,222.69 
16.65790033,13.29997755,181.08 ,165.73 ,237.72 ,222.69 
17.33476033,13.90180738,181.08 ,165.73 ,237.72 ,222.69 
17.48153077,14.03230826,181.08 ,165.73 ,237.72 ,222.69 
17.43120948,13.9875651,181.08 ,165.73 ,237.72 ,222.69 
17.41024227,13.96892212,181.08 ,165.73 ,237.72 ,222.69 
16.41639674,13.08524472,181.08 ,165.73 ,237.72 ,222.69 
16.41639674,13.08524472,181.08 ,165.73 ,237.72 ,222.69 
16.20672469,12.89881489,181.08 ,165.73 ,237.72 ,222.69 
15.78738058,12.52595523,181.08 ,165.73 ,237.72 ,222.69 
16.10188866,12.80559998,181.08 ,165.73 ,237.72 ,222.69 
18.19860919,14.66989828,181.08 ,165.73 ,237.72 ,222.69 
17.71636347,14.24110967,181.08 ,165.73 ,237.72 ,222.69 
16.94057687,13.5513193,181.08 ,165.73 ,237.72 ,222.69 
16.94057687,13.5513193,181.08 ,165.73 ,237.72 ,222.69 
16.04376711,12.75392122,181.08 ,165.73 ,237.72 ,222.69 
16.24847818,12.93593999,181.08 ,165.73 ,237.72 ,222.69 
14.90966775,11.74553718,181.08 ,165.73 ,237.72 ,222.69 
11.53653305,8.746315671,181.08 ,165.73 ,237.72 ,222.69 
12.01130877,9.168462334,181.08 ,165.73 ,237.72 ,222.69 
11.53653305,8.746315671,181.08 ,165.73 ,237.72 ,222.69 
11.50029063,8.714090735,181.08 ,165.73 ,237.72 ,222.69 
10.637721,7.947137255,181.08 ,165.73 ,237.72 ,222.69 
9.651927129,7.070618992,181.08 ,165.73 ,237.72 ,222.69 
8.49579388,6.042643529,181.08 ,165.73 ,237.72 ,222.69 
10.28979375,7.637777868,181.08 ,165.73 ,237.72 ,222.69 
12.55132085,9.648613883,181.08 ,165.73 ,237.72 ,222.69 
12.5549451,9.651836376,181.08 ,165.73 ,237.72 ,222.69 
12.91736931,9.974085738,181.08 ,165.73 ,237.72 ,222.69 
12.92099355,9.977308231,181.08 ,165.73 ,237.72 ,222.69 
13.27979353,10.2963351,181.08 ,165.73 ,237.72 ,222.69 
12.5549451,9.651836376,181.08 ,165.73 ,237.72 ,222.69 
12.55132085,9.648613883,181.08 ,165.73 ,237.72 ,222.69 
12.18889664,9.326364521,181.08 ,165.73 ,237.72 ,222.69 
12.55132085,9.648613883,181.08 ,165.73 ,237.72 ,222.69 
