Climate zone 8 with externalities,"""Created April 18, 2006""",Nominal nonres $0.145972/kBtu,Nominal res $0.164171/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
13.9561738,8.656615572,181.08 ,165.73 ,237.72 ,222.69 
13.56083681,8.305101821,181.08 ,165.73 ,237.72 ,222.69 
12.65562592,7.500233887,181.08 ,165.73 ,237.72 ,222.69 
12.3452679,7.224279167,181.08 ,165.73 ,237.72 ,222.69 
12.43024688,7.299838198,181.08 ,165.73 ,237.72 ,222.69 
11.34029908,6.330711501,181.08 ,165.73 ,237.72 ,222.69 
13.56822628,8.311672172,181.08 ,165.73 ,237.72 ,222.69 
13.6569,8.390516378,181.08 ,165.73 ,237.72 ,222.69 
15.10154268,9.675019897,181.08 ,165.73 ,237.72 ,222.69 
15.65575343,10.16779618,181.08 ,165.73 ,237.72 ,222.69 
15.10154268,9.675019897,181.08 ,165.73 ,237.72 ,222.69 
15.79984822,10.29591802,181.08 ,165.73 ,237.72 ,222.69 
15.21977431,9.780145505,181.08 ,165.73 ,237.72 ,222.69 
15.10154268,9.675019897,181.08 ,165.73 ,237.72 ,222.69 
13.77882637,8.498927161,181.08 ,165.73 ,237.72 ,222.69 
13.12116295,7.914165968,181.08 ,165.73 ,237.72 ,222.69 
13.22831036,8.00943605,181.08 ,165.73 ,237.72 ,222.69 
15.79984822,10.29591802,181.08 ,165.73 ,237.72 ,222.69 
15.79984822,10.29591802,181.08 ,165.73 ,237.72 ,222.69 
15.20130061,9.763719628,181.08 ,165.73 ,237.72 ,222.69 
15.02395318,9.606031217,181.08 ,165.73 ,237.72 ,222.69 
14.27022656,8.935855468,181.08 ,165.73 ,237.72 ,222.69 
14.35890028,9.014699673,181.08 ,165.73 ,237.72 ,222.69 
12.88839443,7.707199928,181.08 ,165.73 ,237.72 ,222.69 
15.53013232,10.05610022,181.08 ,165.73 ,237.72 ,222.69 
15.56338497,10.0856668,181.08 ,165.73 ,237.72 ,222.69 
15.14957428,9.717727175,181.08 ,165.73 ,237.72 ,222.69 
15.35278489,9.898411813,181.08 ,165.73 ,237.72 ,222.69 
15.7111745,10.21707381,181.08 ,165.73 ,237.72 ,222.69 
18.53418379,12.7271515,181.08 ,165.73 ,237.72 ,222.69 
19.48564631,13.57314407,181.08 ,165.73 ,237.72 ,222.69 
20.1631892,14.17558108,181.08 ,165.73 ,237.72 ,222.69 
20.33668723,14.32984679,181.08 ,165.73 ,237.72 ,222.69 
20.22248159,14.22830089,181.08 ,165.73 ,237.72 ,222.69 
19.76272168,13.81950553,181.08 ,165.73 ,237.72 ,222.69 
19.76272168,13.81950553,181.08 ,165.73 ,237.72 ,222.69 
19.55182264,13.63198472,181.08 ,165.73 ,237.72 ,222.69 
19.55182264,13.63198472,181.08 ,165.73 ,237.72 ,222.69 
19.29452581,13.40320934,181.08 ,165.73 ,237.72 ,222.69 
19.06253686,13.19693645,181.08 ,165.73 ,237.72 ,222.69 
19.55182264,13.63198472,181.08 ,165.73 ,237.72 ,222.69 
24.50795013,18.0387237,181.08 ,165.73 ,237.72 ,222.69 
23.24255588,16.91359886,181.08 ,165.73 ,237.72 ,222.69 
21.02811593,14.94463038,181.08 ,165.73 ,237.72 ,222.69 
19.65727216,13.72574513,181.08 ,165.73 ,237.72 ,222.69 
19.0871842,13.21885163,181.08 ,165.73 ,237.72 ,222.69 
19.07343999,13.20663096,181.08 ,165.73 ,237.72 ,222.69 
17.70633319,11.99106844,181.08 ,165.73 ,237.72 ,222.69 
16.49815376,10.91681614,181.08 ,165.73 ,237.72 ,222.69 
15.35278489,9.898411813,181.08 ,165.73 ,237.72 ,222.69 
15.13849006,9.707871649,181.08 ,165.73 ,237.72 ,222.69 
15.13849006,9.707871649,181.08 ,165.73 ,237.72 ,222.69 
16.24321682,10.69013905,181.08 ,165.73 ,237.72 ,222.69 
18.92190209,13.0718911,181.08 ,165.73 ,237.72 ,222.69 
20.13784863,14.15304952,181.08 ,165.73 ,237.72 ,222.69 
20.28676487,14.28545835,181.08 ,165.73 ,237.72 ,222.69 
20.37011092,14.35956546,181.08 ,165.73 ,237.72 ,222.69 
20.26887938,14.26955547,181.08 ,165.73 ,237.72 ,222.69 
20.25622544,14.25830422,181.08 ,165.73 ,237.72 ,222.69 
20.23935352,14.24330256,181.08 ,165.73 ,237.72 ,222.69 
20.02001851,14.04828092,181.08 ,165.73 ,237.72 ,222.69 
20.02001851,14.04828092,181.08 ,165.73 ,237.72 ,222.69 
19.36623148,13.46696641,181.08 ,165.73 ,237.72 ,222.69 
19.37888542,13.47821766,181.08 ,165.73 ,237.72 ,222.69 
19.95253082,13.98827426,181.08 ,165.73 ,237.72 ,222.69 
23.76980348,17.38240088,181.08 ,165.73 ,237.72 ,222.69 
22.50440923,16.25727603,181.08 ,165.73 ,237.72 ,222.69 
19.97362072,14.00702634,181.08 ,165.73 ,237.72 ,222.69 
19.95253082,13.98827426,181.08 ,165.73 ,237.72 ,222.69 
19.27592941,13.38667436,181.08 ,165.73 ,237.72 ,222.69 
18.64677871,12.82726524,181.08 ,165.73 ,237.72 ,222.69 
16.96904351,11.33550759,181.08 ,165.73 ,237.72 ,222.69 
16.54249062,10.95623824,181.08 ,165.73 ,237.72 ,222.69 
16.15823784,10.61458002,181.08 ,165.73 ,237.72 ,222.69 
15.35278489,9.898411813,181.08 ,165.73 ,237.72 ,222.69 
15.65944817,10.17108136,181.08 ,165.73 ,237.72 ,222.69 
17.04866977,11.40630725,181.08 ,165.73 ,237.72 ,222.69 
19.36353495,13.46456879,181.08 ,165.73 ,237.72 ,222.69 
20.72936735,14.67899818,181.08 ,165.73 ,237.72 ,222.69 
19.69536321,13.75961377,181.08 ,165.73 ,237.72 ,222.69 
20.15921188,14.17204465,181.08 ,165.73 ,237.72 ,222.69 
20.30684121,14.30330922,181.08 ,165.73 ,237.72 ,222.69 
20.25622544,14.25830422,181.08 ,165.73 ,237.72 ,222.69 
20.23513554,14.23955214,181.08 ,165.73 ,237.72 ,222.69 
19.23547408,13.35070351,181.08 ,165.73 ,237.72 ,222.69 
19.23547408,13.35070351,181.08 ,165.73 ,237.72 ,222.69 
19.02457503,13.16318271,181.08 ,165.73 ,237.72 ,222.69 
18.60277695,12.78814109,181.08 ,165.73 ,237.72 ,222.69 
18.91912551,13.0694223,181.08 ,165.73 ,237.72 ,222.69 
21.02811593,14.94463038,181.08 ,165.73 ,237.72 ,222.69 
20.54304814,14.51333252,181.08 ,165.73 ,237.72 ,222.69 
19.76272168,13.81950553,181.08 ,165.73 ,237.72 ,222.69 
19.76272168,13.81950553,181.08 ,165.73 ,237.72 ,222.69 
19.06621251,13.20020466,181.08 ,165.73 ,237.72 ,222.69 
19.27592941,13.38667436,181.08 ,165.73 ,237.72 ,222.69 
17.90438089,12.16716248,181.08 ,165.73 ,237.72 ,222.69 
14.39584766,9.047551426,181.08 ,165.73 ,237.72 ,222.69 
14.87985838,9.477909382,181.08 ,165.73 ,237.72 ,222.69 
14.39584766,9.047551426,181.08 ,165.73 ,237.72 ,222.69 
14.35890028,9.014699673,181.08 ,165.73 ,237.72 ,222.69 
13.47955256,8.232827966,181.08 ,165.73 ,237.72 ,222.69 
12.47458374,7.339260301,181.08 ,165.73 ,237.72 ,222.69 
11.29596222,6.291289399,181.08 ,165.73 ,237.72 ,222.69 
13.12485769,7.917451143,181.08 ,165.73 ,237.72 ,222.69 
15.43037439,9.967400493,181.08 ,165.73 ,237.72 ,222.69 
15.43406913,9.970685669,181.08 ,165.73 ,237.72 ,222.69 
15.80354296,10.29920319,181.08 ,165.73 ,237.72 ,222.69 
15.8072377,10.30248837,181.08 ,165.73 ,237.72 ,222.69 
16.17301679,10.62772072,181.08 ,165.73 ,237.72 ,222.69 
15.43406913,9.970685669,181.08 ,165.73 ,237.72 ,222.69 
15.43037439,9.967400493,181.08 ,165.73 ,237.72 ,222.69 
15.06090056,9.638882969,181.08 ,165.73 ,237.72 ,222.69 
15.43037439,9.967400493,181.08 ,165.73 ,237.72 ,222.69 
