Climate zone 12 no externalities," Created March 11, 2002",Nominal nonres $0.07445/kBtu,Nominal res $0.14488/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
14.6858066,10.923229,113.6733463,99.8158743,198.6813542,185.7927982
14.50254515,10.79128091,113.6733463,99.8158743,198.6813542,185.7927982
14.50072513,10.7899705,113.6733463,99.8158743,198.6813542,185.7927982
14.52464921,10.80719582,113.6733463,99.8158743,198.6813542,185.7927982
14.89729129,11.07549781,113.6733463,99.8158743,198.6813542,185.7927982
15.72396776,11.67070417,113.6733463,99.8158743,198.6813542,185.7927982
16.67394825,12.35468934,113.6733463,99.8158743,198.6813542,185.7927982
17.18066993,12.71952853,113.6733463,99.8158743,198.6813542,185.7927982
17.54716549,12.98340503,113.6733463,99.8158743,198.6813542,185.7927982
17.72354236,13.11039623,113.6733463,99.8158743,198.6813542,185.7927982
17.88411289,13.22600688,113.6733463,99.8158743,198.6813542,185.7927982
17.78720381,13.15623242,113.6733463,99.8158743,198.6813542,185.7927982
17.67643059,13.0764758,113.6733463,99.8158743,198.6813542,185.7927982
17.63129915,13.0439812,113.6733463,99.8158743,198.6813542,185.7927982
17.48857623,12.94122081,113.6733463,99.8158743,198.6813542,185.7927982
17.38970193,12.8700314,113.6733463,99.8158743,198.6813542,185.7927982
17.8334144,13.18950401,113.6733463,99.8158743,198.6813542,185.7927982
19.35852941,14.28758555,113.6733463,99.8158743,198.6813542,185.7927982
19.02731877,14.04911416,113.6733463,99.8158743,198.6813542,185.7927982
18.09099013,13.37495832,113.6733463,99.8158743,198.6813542,185.7927982
17.59286732,13.01631031,113.6733463,99.8158743,198.6813542,185.7927982
16.85510645,12.4851231,113.6733463,99.8158743,198.6813542,185.7927982
16.18196685,12.00046314,113.6733463,99.8158743,198.6813542,185.7927982
15.39438006,11.43340131,113.6733463,99.8158743,198.6813542,185.7927982
14.77370244,10.98651394,113.6733463,99.8158743,198.6813542,185.7927982
14.59785488,10.85990384,113.6733463,99.8158743,198.6813542,185.7927982
14.3978336,10.71588868,113.6733463,99.8158743,198.6813542,185.7927982
14.46370425,10.7633155,113.6733463,99.8158743,198.6813542,185.7927982
14.91748547,11.0900376,113.6733463,99.8158743,198.6813542,185.7927982
15.70860791,11.6596451,113.6733463,99.8158743,198.6813542,185.7927982
16.51940535,12.24341859,113.6733463,99.8158743,198.6813542,185.7927982
16.9923449,12.58393467,113.6733463,99.8158743,198.6813542,185.7927982
17.30035742,12.80570342,113.6733463,99.8158743,198.6813542,185.7927982
17.50504085,12.95307533,113.6733463,99.8158743,198.6813542,185.7927982
17.58290679,13.00913874,113.6733463,99.8158743,198.6813542,185.7927982
17.47724431,12.93306184,113.6733463,99.8158743,198.6813542,185.7927982
17.41833262,12.89064547,113.6733463,99.8158743,198.6813542,185.7927982
17.35849018,12.84755897,113.6733463,99.8158743,198.6813542,185.7927982
17.27694256,12.78884475,113.6733463,99.8158743,198.6813542,185.7927982
17.16436487,12.7077889,113.6733463,99.8158743,198.6813542,185.7927982
17.51148202,12.95771296,113.6733463,99.8158743,198.6813542,185.7927982
18.82319419,13.90214463,113.6733463,99.8158743,198.6813542,185.7927982
18.6213186,13.75679438,113.6733463,99.8158743,198.6813542,185.7927982
17.90653499,13.24215077,113.6733463,99.8158743,198.6813542,185.7927982
17.48962155,12.94197344,113.6733463,99.8158743,198.6813542,185.7927982
16.83869669,12.47330808,113.6733463,99.8158743,198.6813542,185.7927982
16.26624064,12.0611402,113.6733463,99.8158743,198.6813542,185.7927982
15.40518521,11.44118101,113.6733463,99.8158743,198.6813542,185.7927982
14.7595636,10.97633398,113.6733463,99.8158743,198.6813542,185.7927982
14.48782655,10.78068353,113.6733463,99.8158743,198.6813542,185.7927982
14.22493386,10.59140101,113.6733463,99.8158743,198.6813542,185.7927982
14.2373969,10.60037439,113.6733463,99.8158743,198.6813542,185.7927982
14.61107672,10.86942355,113.6733463,99.8158743,198.6813542,185.7927982
15.44158902,11.46739172,113.6733463,99.8158743,198.6813542,185.7927982
16.24345084,12.04473156,113.6733463,99.8158743,198.6813542,185.7927982
16.69040735,12.36653988,113.6733463,99.8158743,198.6813542,185.7927982
16.95538535,12.55732382,113.6733463,99.8158743,198.6813542,185.7927982
17.0760215,12.64418175,113.6733463,99.8158743,198.6813542,185.7927982
17.15599376,12.70176171,113.6733463,99.8158743,198.6813542,185.7927982
17.11462851,12.67197877,113.6733463,99.8158743,198.6813542,185.7927982
17.06696465,12.63766083,113.6733463,99.8158743,198.6813542,185.7927982
17.0248656,12.60734955,113.6733463,99.8158743,198.6813542,185.7927982
16.92505752,12.53548781,113.6733463,99.8158743,198.6813542,185.7927982
16.84362182,12.47685417,113.6733463,99.8158743,198.6813542,185.7927982
17.0725271,12.64166578,113.6733463,99.8158743,198.6813542,185.7927982
17.85602925,13.20578668,113.6733463,99.8158743,198.6813542,185.7927982
17.74129037,13.12317479,113.6733463,99.8158743,198.6813542,185.7927982
17.36937507,12.85539607,113.6733463,99.8158743,198.6813542,185.7927982
17.07541856,12.64374763,113.6733463,99.8158743,198.6813542,185.7927982
16.58984361,12.29413407,113.6733463,99.8158743,198.6813542,185.7927982
15.98187408,11.85639651,113.6733463,99.8158743,198.6813542,185.7927982
15.33487868,11.39056036,113.6733463,99.8158743,198.6813542,185.7927982
14.58680578,10.85194849,113.6733463,99.8158743,198.6813542,185.7927982
14.18026694,10.55924087,113.6733463,99.8158743,198.6813542,185.7927982
13.87359802,10.3384395,113.6733463,99.8158743,198.6813542,185.7927982
14.00787276,10.4351172,113.6733463,99.8158743,198.6813542,185.7927982
14.41562571,10.72869899,113.6733463,99.8158743,198.6813542,185.7927982
15.47930124,11.49454449,113.6733463,99.8158743,198.6813542,185.7927982
16.35779366,12.1270583,113.6733463,99.8158743,198.6813542,185.7927982
16.71587715,12.38487812,113.6733463,99.8158743,198.6813542,185.7927982
17.01963877,12.60358623,113.6733463,99.8158743,198.6813542,185.7927982
17.12198715,12.67727698,113.6733463,99.8158743,198.6813542,185.7927982
17.21608031,12.74502398,113.6733463,99.8158743,198.6813542,185.7927982
17.16212179,12.70617388,113.6733463,99.8158743,198.6813542,185.7927982
17.10606222,12.66581104,113.6733463,99.8158743,198.6813542,185.7927982
17.02266656,12.60576624,113.6733463,99.8158743,198.6813542,185.7927982
16.94023477,12.54641542,113.6733463,99.8158743,198.6813542,185.7927982
16.8706024,12.49628017,113.6733463,99.8158743,198.6813542,185.7927982
17.06942149,12.63942975,113.6733463,99.8158743,198.6813542,185.7927982
17.96836411,13.28666769,113.6733463,99.8158743,198.6813542,185.7927982
17.67237209,13.07355368,113.6733463,99.8158743,198.6813542,185.7927982
17.20453367,12.73671041,113.6733463,99.8158743,198.6813542,185.7927982
16.94584039,12.55045146,113.6733463,99.8158743,198.6813542,185.7927982
16.57079661,12.28042025,113.6733463,99.8158743,198.6813542,185.7927982
16.02152729,11.88494679,113.6733463,99.8158743,198.6813542,185.7927982
15.33208709,11.38855042,113.6733463,99.8158743,198.6813542,185.7927982
14.55980008,10.83250442,113.6733463,99.8158743,198.6813542,185.7927982
14.30221712,10.6470449,113.6733463,99.8158743,198.6813542,185.7927982
13.9711854,10.40870233,113.6733463,99.8158743,198.6813542,185.7927982
13.87252894,10.33766976,113.6733463,99.8158743,198.6813542,185.7927982
14.02220819,10.4454387,113.6733463,99.8158743,198.6813542,185.7927982
14.47387673,10.77063967,113.6733463,99.8158743,198.6813542,185.7927982
15.0182315,11.16257465,113.6733463,99.8158743,198.6813542,185.7927982
15.47174021,11.48910055,113.6733463,99.8158743,198.6813542,185.7927982
15.93935534,11.82578306,113.6733463,99.8158743,198.6813542,185.7927982
16.15589914,11.98169441,113.6733463,99.8158743,198.6813542,185.7927982
16.25495947,12.05301777,113.6733463,99.8158743,198.6813542,185.7927982
16.2077112,12.01899906,113.6733463,99.8158743,198.6813542,185.7927982
16.13064444,11.96351105,113.6733463,99.8158743,198.6813542,185.7927982
15.95186986,11.8347935,113.6733463,99.8158743,198.6813542,185.7927982
