Climate zone 10 no externalities," Created March 11, 2002",Nominal nonres $0.07445/kBtu,Nominal res $0.14488/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
16.36691885,11.67413395,89.06767389,98.85058178,198.6813542,185.7927982
16.13275002,11.49640831,89.06767389,98.85058178,198.6813542,185.7927982
16.13042443,11.49464327,89.06767389,98.85058178,198.6813542,185.7927982
16.16099427,11.51784466,89.06767389,98.85058178,198.6813542,185.7927982
16.63715095,11.8792303,89.06767389,98.85058178,198.6813542,185.7927982
17.69346621,12.68093523,89.06767389,98.85058178,198.6813542,185.7927982
18.90733757,13.60221953,89.06767389,98.85058178,198.6813542,185.7927982
19.55481923,14.0936346,89.06767389,98.85058178,198.6813542,185.7927982
20.02312197,14.44905937,89.06767389,98.85058178,198.6813542,185.7927982
20.24849379,14.6201084,89.06767389,98.85058178,198.6813542,185.7927982
20.4536685,14.77582856,89.06767389,98.85058178,198.6813542,185.7927982
20.32983947,14.68184682,89.06767389,98.85058178,198.6813542,185.7927982
20.18829505,14.57441975,89.06767389,98.85058178,198.6813542,185.7927982
20.13062675,14.5306516,89.06767389,98.85058178,198.6813542,185.7927982
19.94825746,14.39223993,89.06767389,98.85058178,198.6813542,185.7927982
19.82191731,14.29635234,89.06767389,98.85058178,198.6813542,185.7927982
20.3888867,14.72666153,89.06767389,98.85058178,198.6813542,185.7927982
22.33765666,16.20570718,89.06767389,98.85058178,198.6813542,185.7927982
21.91444048,15.88450146,89.06767389,98.85058178,198.6813542,185.7927982
20.71801325,14.97645663,89.06767389,98.85058178,198.6813542,185.7927982
20.08151911,14.49338069,89.06767389,98.85058178,198.6813542,185.7927982
19.13881892,13.77790546,89.06767389,98.85058178,198.6813542,185.7927982
18.27869085,13.12509948,89.06767389,98.85058178,198.6813542,185.7927982
17.2723238,12.36130343,89.06767389,98.85058178,198.6813542,185.7927982
16.4792309,11.75937471,89.06767389,98.85058178,198.6813542,185.7927982
16.25453541,11.588839,89.06767389,98.85058178,198.6813542,185.7927982
15.99895111,11.39485979,89.06767389,98.85058178,198.6813542,185.7927982
16.08311968,11.45874068,89.06767389,98.85058178,198.6813542,185.7927982
16.66295478,11.89881447,89.06767389,98.85058178,198.6813542,185.7927982
17.67383962,12.66603936,89.06767389,98.85058178,198.6813542,185.7927982
18.70986489,13.45234493,89.06767389,98.85058178,198.6813542,185.7927982
19.31418023,13.91099833,89.06767389,98.85058178,198.6813542,185.7927982
19.70775418,14.20970667,89.06767389,98.85058178,198.6813542,185.7927982
19.96929572,14.4082072,89.06767389,98.85058178,198.6813542,185.7927982
20.06879169,14.48372104,89.06767389,98.85058178,198.6813542,185.7927982
19.93377769,14.38125032,89.06767389,98.85058178,198.6813542,185.7927982
19.85850119,14.32411818,89.06767389,98.85058178,198.6813542,185.7927982
19.78203538,14.26608341,89.06767389,98.85058178,198.6813542,185.7927982
19.67783501,14.18699911,89.06767389,98.85058178,198.6813542,185.7927982
19.53398486,14.07782207,89.06767389,98.85058178,198.6813542,185.7927982
19.97752615,14.41445381,89.06767389,98.85058178,198.6813542,185.7927982
21.65361303,15.6865429,89.06767389,98.85058178,198.6813542,185.7927982
21.39565932,15.4907654,89.06767389,98.85058178,198.6813542,185.7927982
20.48231913,14.79757335,89.06767389,98.85058178,198.6813542,185.7927982
19.94959315,14.39325367,89.06767389,98.85058178,198.6813542,185.7927982
19.11785075,13.76199139,89.06767389,98.85058178,198.6813542,185.7927982
18.38637467,13.2068276,89.06767389,98.85058178,198.6813542,185.7927982
17.28613047,12.3717822,89.06767389,98.85058178,198.6813542,185.7927982
16.46116448,11.74566296,89.06767389,98.85058178,198.6813542,185.7927982
16.1139428,11.48213431,89.06767389,98.85058178,198.6813542,185.7927982
15.77802232,11.22718286,89.06767389,98.85058178,198.6813542,185.7927982
15.79394741,11.23926942,89.06767389,98.85058178,198.6813542,185.7927982
16.27143009,11.60166144,89.06767389,98.85058178,198.6813542,185.7927982
17.33264673,12.40708635,89.06767389,98.85058178,198.6813542,185.7927982
18.35725419,13.18472621,89.06767389,98.85058178,198.6813542,185.7927982
18.92836878,13.61818145,89.06767389,98.85058178,198.6813542,185.7927982
19.26695384,13.87515522,89.06767389,98.85058178,198.6813542,185.7927982
19.42110098,13.9921473,89.06767389,98.85058178,198.6813542,185.7927982
19.52328838,14.06970383,89.06767389,98.85058178,198.6813542,185.7927982
19.47043246,14.02958811,89.06767389,98.85058178,198.6813542,185.7927982
19.40952827,13.98336403,89.06767389,98.85058178,198.6813542,185.7927982
19.35573471,13.94253668,89.06767389,98.85058178,198.6813542,185.7927982
19.22820138,13.84574351,89.06767389,98.85058178,198.6813542,185.7927982
19.12414402,13.76676775,89.06767389,98.85058178,198.6813542,185.7927982
19.41663588,13.98875846,89.06767389,98.85058178,198.6813542,185.7927982
20.41778363,14.74859324,89.06767389,98.85058178,198.6813542,185.7927982
20.27117195,14.6373203,89.06767389,98.85058178,198.6813542,185.7927982
19.79594393,14.2766395,89.06767389,98.85058178,198.6813542,185.7927982
19.42033055,13.99156257,89.06767389,98.85058178,198.6813542,185.7927982
18.79986988,13.52065545,89.06767389,98.85058178,198.6813542,185.7927982
18.02301519,12.93105094,89.06767389,98.85058178,198.6813542,185.7927982
17.19629379,12.30359942,89.06767389,98.85058178,198.6813542,185.7927982
16.24041703,11.57812366,89.06767389,98.85058178,198.6813542,185.7927982
15.72094758,11.1838652,89.06767389,98.85058178,198.6813542,185.7927982
15.32909045,10.88645987,89.06767389,98.85058178,198.6813542,185.7927982
15.50066477,11.01667855,89.06767389,98.85058178,198.6813542,185.7927982
16.02168561,11.41211445,89.06767389,98.85058178,198.6813542,185.7927982
17.38083486,12.44365939,89.06767389,98.85058178,198.6813542,185.7927982
18.5033598,13.29561506,89.06767389,98.85058178,198.6813542,185.7927982
18.96091373,13.64288188,89.06767389,98.85058178,198.6813542,185.7927982
19.34905594,13.93746773,89.06767389,98.85058178,198.6813542,185.7927982
19.47983522,14.03672446,89.06767389,98.85058178,198.6813542,185.7927982
19.60006611,14.12797534,89.06767389,98.85058178,198.6813542,185.7927982
19.53111868,14.07564674,89.06767389,98.85058178,198.6813542,185.7927982
19.45948658,14.02128058,89.06767389,98.85058178,198.6813542,185.7927982
19.3529248,13.94040406,89.06767389,98.85058178,198.6813542,185.7927982
19.24759466,13.8604623,89.06767389,98.85058178,198.6813542,185.7927982
19.15861942,13.79293333,89.06767389,98.85058178,198.6813542,185.7927982
19.41266758,13.98574666,89.06767389,98.85058178,198.6813542,185.7927982
20.56132349,14.85753479,89.06767389,98.85058178,198.6813542,185.7927982
20.18310916,14.57048385,89.06767389,98.85058178,198.6813542,185.7927982
19.58531198,14.11677749,89.06767389,98.85058178,198.6813542,185.7927982
19.25475744,13.86589859,89.06767389,98.85058178,198.6813542,185.7927982
18.7755319,13.50218381,89.06767389,98.85058178,198.6813542,185.7927982
18.07368349,12.96950634,89.06767389,98.85058178,198.6813542,185.7927982
17.19272674,12.30089216,89.06767389,98.85058178,198.6813542,185.7927982
16.20590955,11.55193373,89.06767389,98.85058178,198.6813542,185.7927982
15.87677376,11.30213162,89.06767389,98.85058178,198.6813542,185.7927982
15.45378619,10.98109941,89.06767389,98.85058178,198.6813542,185.7927982
15.3277244,10.88542309,89.06767389,98.85058178,198.6813542,185.7927982
15.51898237,11.03058095,89.06767389,98.85058178,198.6813542,185.7927982
16.09611793,11.46860588,89.06767389,98.85058178,198.6813542,185.7927982
16.7916866,11.99651724,89.06767389,98.85058178,198.6813542,185.7927982
17.37117349,12.43632676,89.06767389,98.85058178,198.6813542,185.7927982
17.96868536,12.88981657,89.06767389,98.85058178,198.6813542,185.7927982
18.24538189,13.0998192,89.06767389,98.85058178,198.6813542,185.7927982
18.37195976,13.19588721,89.06767389,98.85058178,198.6813542,185.7927982
18.31158661,13.15006617,89.06767389,98.85058178,198.6813542,185.7927982
18.21311181,13.07532738,89.06767389,98.85058178,198.6813542,185.7927982
17.98467623,12.90195306,89.06767389,98.85058178,198.6813542,185.7927982
