Climate zone 2 with externalities,"""Created April 18, 2006""",Nominal nonres $0.145972/kBtu,Nominal res $0.164171/kBtu,,
Electric,,Natural Gas,,Propane,
Commercial,Residential,Commercial,Residential,Commercial,Residential
kBtu/kWh,kBtu/kWh,kBtu/therm,kBtu/therm,kBtu/therm,kBtu/therm
11.34110466,8.555482828,180.82 ,165.73 ,237.72 ,222.69 
10.95331075,8.210676011,180.82 ,165.73 ,237.72 ,222.69 
10.06537143,7.421165076,180.82 ,165.73 ,237.72 ,222.69 
9.760935084,7.150475612,180.82 ,165.73 ,237.72 ,222.69 
9.844292654,7.224592965,180.82 ,165.73 ,237.72 ,222.69 
8.775141217,6.273957349,180.82 ,165.73 ,237.72 ,222.69 
10.96055924,8.217120998,180.82 ,165.73 ,237.72 ,222.69 
11.04754105,8.294460845,180.82 ,165.73 ,237.72 ,222.69 
12.46461973,9.554455848,180.82 ,165.73 ,237.72 ,222.69 
13.00825606,10.03782989,180.82 ,165.73 ,237.72 ,222.69 
12.46461973,9.554455848,180.82 ,165.73 ,237.72 ,222.69 
13.1496015,10.16350714,180.82 ,165.73 ,237.72 ,222.69 
12.58059548,9.657575643,180.82 ,165.73 ,237.72 ,222.69 
12.46461973,9.554455848,180.82 ,165.73 ,237.72 ,222.69 
11.16714104,8.400803134,180.82 ,165.73 ,237.72 ,222.69 
10.52202594,7.827199271,180.82 ,165.73 ,237.72 ,222.69 
10.62712896,7.920651586,180.82 ,165.73 ,237.72 ,222.69 
13.1496015,10.16350714,180.82 ,165.73 ,237.72 ,222.69 
13.1496015,10.16350714,180.82 ,165.73 ,237.72 ,222.69 
12.56247427,9.641463175,180.82 ,165.73 ,237.72 ,222.69 
12.38851065,9.486783482,180.82 ,165.73 ,237.72 ,222.69 
11.64916525,8.829394785,180.82 ,165.73 ,237.72 ,222.69 
11.73614706,8.906734631,180.82 ,165.73 ,237.72 ,222.69 
10.29369868,7.624182173,180.82 ,165.73 ,237.72 ,222.69 
12.88503182,9.928265107,180.82 ,165.73 ,237.72 ,222.69 
12.91765,9.957267549,180.82 ,165.73 ,237.72 ,222.69 
12.51173488,9.596348265,180.82 ,165.73 ,237.72 ,222.69 
12.7110682,9.773585413,180.82 ,165.73 ,237.72 ,222.69 
13.06261969,10.08616729,180.82 ,165.73 ,237.72 ,222.69 
16.02168758,12.71722145,180.82 ,165.73 ,237.72 ,222.69 
16.68904569,13.31060267,180.82 ,165.73 ,237.72 ,222.69 
17.42600556,13.96587027,180.82 ,165.73 ,237.72 ,222.69 
17.8096429,14.30698128,180.82 ,165.73 ,237.72 ,222.69 
17.63351838,14.15038022,180.82 ,165.73 ,237.72 ,222.69 
17.17643331,13.74396319,180.82 ,165.73 ,237.72 ,222.69 
17.17643331,13.74396319,180.82 ,165.73 ,237.72 ,222.69 
16.96676125,13.55753336,180.82 ,165.73 ,237.72 ,222.69 
16.96676125,13.55753336,180.82 ,165.73 ,237.72 ,222.69 
16.71096135,13.33008897,180.82 ,165.73 ,237.72 ,222.69 
16.48032209,13.12501616,180.82 ,165.73 ,237.72 ,222.69 
16.96676125,13.55753336,180.82 ,165.73 ,237.72 ,222.69 
21.89405449,17.93863438,180.82 ,165.73 ,237.72 ,222.69 
20.63602218,16.8200554,180.82 ,165.73 ,237.72 ,222.69 
18.43446562,14.86254218,180.82 ,165.73 ,237.72 ,222.69 
17.07159728,13.65074828,180.82 ,165.73 ,237.72 ,222.69 
16.30009465,12.96476699,180.82 ,165.73 ,237.72 ,222.69 
16.39835596,13.052136,180.82 ,165.73 ,237.72 ,222.69 
15.11686463,11.91269845,180.82 ,165.73 ,237.72 ,222.69 
13.83458327,10.77255843,180.82 ,165.73 ,237.72 ,222.69 
12.7110682,9.773585413,180.82 ,165.73 ,237.72 ,222.69 
12.50086215,9.586680784,180.82 ,165.73 ,237.72 ,222.69 
12.50086215,9.586680784,180.82 ,165.73 ,237.72 ,222.69 
13.58451056,10.55020637,180.82 ,165.73 ,237.72 ,222.69 
16.46386351,13.11038201,180.82 ,165.73 ,237.72 ,222.69 
17.35640379,13.90398389,180.82 ,165.73 ,237.72 ,222.69 
17.47104199,14.0059144,180.82 ,165.73 ,237.72 ,222.69 
17.78028882,14.28088111,180.82 ,165.73 ,237.72 ,222.69 
17.67964623,14.19139479,180.82 ,165.73 ,237.72 ,222.69 
17.66706591,14.180209,180.82 ,165.73 ,237.72 ,222.69 
17.65029214,14.16529461,180.82 ,165.73 ,237.72 ,222.69 
17.43223321,13.97140759,180.82 ,165.73 ,237.72 ,222.69 
17.43223321,13.97140759,180.82 ,165.73 ,237.72 ,222.69 
16.78224985,13.39347511,180.82 ,165.73 ,237.72 ,222.69 
16.79483017,13.4046609,180.82 ,165.73 ,237.72 ,222.69 
17.36513815,13.91175004,180.82 ,165.73 ,237.72 ,222.69 
21.16020231,17.28612997,180.82 ,165.73 ,237.72 ,222.69 
19.90216999,16.16755099,180.82 ,165.73 ,237.72 ,222.69 
17.38610536,13.93039302,180.82 ,165.73 ,237.72 ,222.69 
17.36513815,13.91175004,180.82 ,165.73 ,237.72 ,222.69 
16.48433461,13.12858389,180.82 ,165.73 ,237.72 ,222.69 
15.87020139,12.58252755,180.82 ,165.73 ,237.72 ,222.69 
14.23687415,11.13025522,180.82 ,165.73 ,237.72 ,222.69 
13.87807417,10.81122836,180.82 ,165.73 ,237.72 ,222.69 
13.50115299,10.47608902,180.82 ,165.73 ,237.72 ,222.69 
12.7110682,9.773585413,180.82 ,165.73 ,237.72 ,222.69 
13.0118803,10.04105238,180.82 ,165.73 ,237.72 ,222.69 
14.38809321,11.2647116,180.82 ,165.73 ,237.72 ,222.69 
16.70542257,13.32516417,180.82 ,165.73 ,237.72 ,222.69 
18.08108099,14.54833036,180.82 ,165.73 ,237.72 ,222.69 
16.89375676,13.49262145,180.82 ,165.73 ,237.72 ,222.69 
17.57061676,14.09445128,180.82 ,165.73 ,237.72 ,222.69 
17.7173872,14.22495216,180.82 ,165.73 ,237.72 ,222.69 
17.66706591,14.180209,180.82 ,165.73 ,237.72 ,222.69 
17.6460987,14.16156601,180.82 ,165.73 ,237.72 ,222.69 
16.65225317,13.27788862,180.82 ,165.73 ,237.72 ,222.69 
16.65225317,13.27788862,180.82 ,165.73 ,237.72 ,222.69 
16.44258112,13.09145879,180.82 ,165.73 ,237.72 ,222.69 
16.02323701,12.71859913,180.82 ,165.73 ,237.72 ,222.69 
16.33774509,12.99824387,180.82 ,165.73 ,237.72 ,222.69 
18.43446562,14.86254218,180.82 ,165.73 ,237.72 ,222.69 
17.9522199,14.43375357,180.82 ,165.73 ,237.72 ,222.69 
17.17643331,13.74396319,180.82 ,165.73 ,237.72 ,222.69 
17.17643331,13.74396319,180.82 ,165.73 ,237.72 ,222.69 
16.27962354,12.94656511,180.82 ,165.73 ,237.72 ,222.69 
16.48433461,13.12858389,180.82 ,165.73 ,237.72 ,222.69 
15.14552419,11.93818108,180.82 ,165.73 ,237.72 ,222.69 
11.77238948,8.938959567,180.82 ,165.73 ,237.72 ,222.69 
12.2471652,9.361106231,180.82 ,165.73 ,237.72 ,222.69 
11.77238948,8.938959567,180.82 ,165.73 ,237.72 ,222.69 
11.73614706,8.906734631,180.82 ,165.73 ,237.72 ,222.69 
10.87357743,8.139781151,180.82 ,165.73 ,237.72 ,222.69 
9.88778356,7.263262889,180.82 ,165.73 ,237.72 ,222.69 
8.731650311,6.235287426,180.82 ,165.73 ,237.72 ,222.69 
10.52565018,7.830421765,180.82 ,165.73 ,237.72 ,222.69 
12.78717729,9.841257779,180.82 ,165.73 ,237.72 ,222.69 
12.79080153,9.844480273,180.82 ,165.73 ,237.72 ,222.69 
13.15322574,10.16672963,180.82 ,165.73 ,237.72 ,222.69 
13.15684999,10.16995213,180.82 ,165.73 ,237.72 ,222.69 
13.51564996,10.488979,180.82 ,165.73 ,237.72 ,222.69 
12.79080153,9.844480273,180.82 ,165.73 ,237.72 ,222.69 
12.78717729,9.841257779,180.82 ,165.73 ,237.72 ,222.69 
12.42475307,9.519008418,180.82 ,165.73 ,237.72 ,222.69 
12.78717729,9.841257779,180.82 ,165.73 ,237.72 ,222.69 
