Date/Time,EAST SIDE TREE,WEST SIDE TREE,ZN001:WALL001:SHADE001,ZN002:WALL001:SHADE001,ZN003:WALL001:SHADE001,ZN004:WALL001:SHADE001,ZN005:WALL001:SHADE001,ZN006:WALL001:SHADE001,ZN007:WALL001:SHADE001,ZN008:WALL001:SHADE001,ZN009:WALL001:SHADE001,ZN001:WALL001,ZN001:WALL001:WIN001,ZN001:WALL002,ZN001:WALL002:WIN001,ZN001:WALL003,ZN001:WALL004,ZN001:WALL005,ZN001:WALL005:WIN001,ZN001:WALL006,ZN001:FLR001,ZN001:ROOF001,ZN002:WALL001,ZN002:WALL001:WIN001,ZN002:WALL002,ZN002:WALL003,ZN002:WALL004,ZN002:FLR001,ZN002:ROOF001,ZN003:WALL001,ZN003:WALL001:WIN001,ZN003:WALL002,ZN003:WALL002:WIN001,ZN003:WALL003,ZN003:WALL004,ZN003:WALL005,ZN003:WALL006,ZN003:WALL007,ZN003:WALL007:WIN001,ZN003:WALL008,ZN003:FLR001,ZN003:ROOF001,ZN004:WALL001,ZN004:WALL001:WIN001,ZN004:WALL002,ZN004:WALL002:WIN001,ZN004:WALL003,ZN004:WALL004,ZN004:WALL005,ZN004:WALL006,ZN004:WALL006:WIN001,ZN004:FLR001,ZN004:ROOF001,ZN005:WALL001,ZN005:WALL001:WIN001,ZN005:WALL002,ZN005:WALL002:WIN001,ZN005:WALL003,ZN005:WALL004,ZN005:WALL005,ZN005:WALL005:WIN001,ZN005:WALL006,ZN005:FLR001,ZN005:ROOF001,ZN006:WALL001,ZN006:WALL001:WIN001,ZN006:WALL002,ZN006:WALL003,ZN006:WALL004,ZN006:FLR001,ZN006:ROOF001,ZN007:WALL001,ZN007:WALL001:WIN001,ZN007:WALL002,ZN007:WALL002:WIN001,ZN007:WALL003,ZN007:WALL004,ZN007:WALL005,ZN007:WALL006,ZN007:WALL006:WIN001,ZN007:WALL007,ZN007:WALL008,ZN007:FLR001,ZN007:ROOF001,ZN008:WALL001,ZN008:WALL001:WIN001,ZN008:WALL002,ZN008:WALL003,ZN008:WALL004,ZN008:FLR001,ZN008:ROOF001,ZN009:WALL001,ZN009:WALL001:WIN001,ZN009:WALL002,ZN009:WALL002:WIN001,ZN009:WALL003,ZN009:WALL004,ZN009:WALL005,ZN009:WALL005:WIN001,ZN009:WALL006,ZN009:FLR001,ZN009:ROOF001
 01/01  01:00:00,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  02:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  09:00:00,0,0.25,0,0,0,0,0,0,0,0,0,0.98,0.91,0.57,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.91,0.57,0.94,0,0.01,0,0,0,0,0,0,0,0.98,0.91,0.84,0.46,0,0,0,0,0,0,0,0.98,0.91,0.75,0.94,0.26,0,0,0,0,0,1,0.23,0.11,0,0,0,0,1,0.98,0.91,0.75,0.94,0.26,0,0,0,0,0,0,0,1,0.23,0.11,0,0,0,0,1,0.98,0.91,0.88,0.63,0,0,0,0,0,0,0.88
 01/01  10:00:00,0,0.36,0,0,0,0,0,0,0,0,0,0.97,0.92,1,0.92,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.97,0.92,1,0.92,0.04,0,0,0,0,0,0,0,0,0.97,0.92,0.75,0.58,0,0,0,0,0,0,0,0.97,0.92,1,0.92,0.47,0,0,0,0,0,1,0.46,0.45,0,0,0,0,1,0.97,0.92,1,0.92,0.47,0,0,0,0,0,0,0,1,0.47,0.44,0,0,0,0,1,0.97,0.92,0.86,0.75,0,0,0,0,0,0,0.96
