Date/Time,GndSurfs:GrassTemp [C],GndSurfs:ParkingTemp [C],GndSurfs:PondTemp [C]
 01/01  01:00:00,7.495539415,11.02855002,7.495539415
 01/01  02:00:00,7.389262033,9.291050021,7.389262033
 01/01  03:00:00,7.201369262,8.878550021,7.201369262
 01/01  04:00:00,7.03925129,8.878550021,7.03925129
 01/01  05:00:00,6.753252818,8.503550021,6.753252818
 01/01  06:00:00,6.292757838,7.966050021,6.292757838
 01/01  07:00:00,5.886563482,7.403550021,5.886563482
 01/01  08:00:00,5.967168118,7.553550021,5.967168118
 01/01  09:00:00,6.221946533,8.091050021,6.221946533
 01/01  10:00:00,7.255109801,10.40355002,7.255109801
 01/01  11:00:00,8.327626984,13.74105002,8.327626984
 01/01  12:00:00,9.097259486,16.04105002,9.097259486
 01/01  13:00:00,9.389902171,16.67855002,9.389902171
 01/01  14:00:00,9.825500151,17.36605002,9.825500151
 01/01  15:00:00,10.08587127,17.77855002,10.08587127
 01/01  16:00:00,10.05465528,18.09105002,10.05465528
 01/01  17:00:00,10.21865998,18.65355002,10.21865998
 01/01  18:00:00,9.814118964,17.81605002,9.814118964
 01/01  19:00:00,9.174854002,15.80355002,9.174854002
 01/01  20:00:00,8.874605444,14.97855002,8.874605444
 01/01  21:00:00,8.679853356,14.60355002,8.679853356
 01/01  22:00:00,8.250146971,13.69105002,8.250146971
 01/01  23:00:00,7.845495092,13.65355002,7.845495092
 01/01  24:00:00,7.246652519,13.19105002,7.246652519
 01/02  01:00:00,7.138008813,13.09105002,7.138008813
 01/02  02:00:00,6.925485912,12.96605002,6.925485912
 01/02  03:00:00,6.594972782,12.77855002,6.594972782
 01/02  04:00:00,6.439208909,12.77855002,6.439208909
 01/02  05:00:00,5.844803565,11.71605002,5.844803565
 01/02  06:00:00,5.502809296,11.07855002,5.502809296
 01/02  07:00:00,5.784465812,12.14105002,5.784465812
 01/02  08:00:00,5.796364298,12.40355002,5.796364298
 01/02  09:00:00,5.856375712,12.55355002,5.856375712
 01/02  10:00:00,6.660956184,14.15355002,6.660956184
 01/02  11:00:00,7.409979518,15.66605002,7.409979518
 01/02  12:00:00,7.825707152,16.76605002,7.825707152
 01/02  13:00:00,7.679345068,17.17855002,7.679345068
 01/02  14:00:00,7.785887278,17.17855002,7.785887278
 01/02  15:00:00,8.235211558,17.86605002,8.235211558
 01/02  16:00:00,8.400632063,18.27855002,8.400632063
 01/02  17:00:00,8.37760806,17.96605002,8.37760806
 01/02  18:00:00,8.154744798,17.09105002,8.154744798
 01/02  19:00:00,7.928244159,16.30355002,7.928244159
 01/02  20:00:00,7.417386455,15.01605002,7.417386455
 01/02  21:00:00,6.975746881,14.06605002,6.975746881
 01/02  22:00:00,6.361513351,12.81605002,6.361513351
 01/02  23:00:00,6.041169064,12.17855002,6.041169064
 01/02  24:00:00,6.136850414,11.86605002,6.136850414
 01/03  01:00:00,5.98818572,11.67855002,5.98818572
 01/03  02:00:00,5.76965149,11.30355002,5.76965149
 01/03  03:00:00,5.577788354,11.07855002,5.577788354
 01/03  04:00:00,5.498858432,11.07855002,5.498858432
 01/03  05:00:00,5.458447759,10.39105002,5.458447759
 01/03  06:00:00,5.420415255,9.978550021,5.420415255
 01/03  07:00:00,5.234777629,9.978550021,5.234777629
 01/03  08:00:00,5.368431356,10.35355002,5.368431356
 01/03  09:00:00,5.990912029,11.57855002,5.990912029
 01/03  10:00:00,7.033205884,13.92855002,7.033205884
 01/03  11:00:00,7.72151331,15.66605002,7.72151331
 01/03  12:00:00,8.189085708,16.76605002,8.189085708
 01/03  13:00:00,8.372480463,17.17855002,8.372480463
 01/03  14:00:00,8.543130688,17.55355002,8.543130688
 01/03  15:00:00,8.958000899,18.09105002,8.958000899
 01/03  16:00:00,9.146154622,18.27855002,9.146154622
 01/03  17:00:00,9.146154622,18.27855002,9.146154622
 01/03  18:00:00,8.928995586,17.59105002,8.928995586
 01/03  19:00:00,8.792889744,17.17855002,8.792889744
 01/03  20:00:00,8.56432846,16.17855002,8.56432846
 01/03  21:00:00,8.131911005,14.51605002,8.131911005
 01/03  22:00:00,7.822858448,14.19105002,7.822858448
 01/03  23:00:00,7.333429564,12.69105002,7.333429564
 01/03  24:00:00,6.828856866,11.99105002,6.828856866
 01/04  01:00:00,6.471688077,11.49105002,6.471688077
 01/04  02:00:00,6.071628822,10.76605002,6.071628822
 01/04  03:00:00,5.85206865,10.20355002,5.85206865
 01/04  04:00:00,5.63400391,9.291050021,5.63400391
 01/04  05:00:00,5.138014162,8.191050021,5.138014162
 01/04  06:00:00,4.903607673,7.778550021,4.903607673
 01/04  07:00:00,4.727158384,7.403550021,4.727158384
 01/04  08:00:00,4.464148304,7.178550021,4.464148304
 01/04  09:00:00,5.206110479,8.241050021,5.206110479
 01/04  10:00:00,6.367867008,10.25355002,6.367867008
 01/04  11:00:00,7.062674702,11.76605002,7.062674702
 01/04  12:00:00,7.770071029,13.24105002,7.770071029
 01/04  13:00:00,8.701253858,15.25355002,8.701253858
 01/04  14:00:00,9.336255408,16.76605002,9.336255408
 01/04  15:00:00,9.746957236,17.86605002,9.746957236
 01/04  16:00:00,10.07464356,18.65355002,10.07464356
 01/04  17:00:00,9.99567456,18.87855002,9.99567456
 01/04  18:00:00,9.475892192,17.81605002,9.475892192
 01/04  19:00:00,8.878755535,16.49105002,8.878755535
 01/04  20:00:00,8.390600748,15.39105002,8.390600748
 01/04  21:00:00,8.309500503,14.60355002,8.309500503
 01/04  22:00:00,7.677410381,13.00355002,7.677410381
 01/04  23:00:00,7.134383924,11.49105002,7.134383924
 01/04  24:00:00,6.496658273,10.01605002,6.496658273
 01/05  01:00:00,6.187114079,9.753550021,6.187114079
 01/05  02:00:00,6.058404973,9.603550021,6.058404973
 01/05  03:00:00,5.589953036,8.691050021,5.589953036
 01/05  04:00:00,4.641799368,7.591050021,4.641799368
 01/05  05:00:00,3.842193574,7.553550021,3.842193574
 01/05  06:00:00,3.406388124,7.091050021,3.406388124
 01/05  07:00:00,3.121379854,6.678550021,3.121379854
 01/05  08:00:00,3.116694596,6.303550021,3.116694596
 01/05  09:00:00,3.785164548,8.891050021,3.785164548
 01/05  10:00:00,4.494934659,11.26605002,4.494934659
 01/05  11:00:00,5.51823241,13.05355002,5.51823241
 01/05  12:00:00,6.27384848,14.94105002,6.27384848
 01/05  13:00:00,6.390589226,16.26605002,6.390589226
 01/05  14:00:00,6.672728655,17.36605002,6.672728655
 01/05  15:00:00,6.732984716,17.40355002,6.732984716
 01/05  16:00:00,6.650498367,17.17855002,6.650498367
 01/05  17:00:00,6.74315684,17.17855002,6.74315684
 01/05  18:00:00,6.504918621,16.17855002,6.504918621
 01/05  19:00:00,5.892248106,14.82855002,5.892248106
 01/05  20:00:00,5.634829372,13.37855002,5.634829372
 01/05  21:00:00,5.260540963,12.40355002,5.260540963
 01/05  22:00:00,5.049388018,12.17855002,5.049388018
 01/05  23:00:00,4.628355982,10.80355002,4.628355982
 01/05  24:00:00,4.051882671,9.603550021,4.051882671
 01/06  01:00:00,3.509077939,8.691050021,3.509077939
 01/06  02:00:00,2.920715879,7.966050021,2.920715879
 01/06  03:00:00,2.738526208,7.403550021,2.738526208
 01/06  04:00:00,2.613678583,7.553550021,2.613678583
 01/06  05:00:00,2.168072538,6.716050021,2.168072538
 01/06  06:00:00,1.779188578,5.766050021,1.779188578
 01/06  07:00:00,1.683290983,5.578550021,1.683290983
 01/06  08:00:00,1.842667755,5.891050021,1.842667755
 01/06  09:00:00,2.142355425,6.453550021,2.142355425
 01/06  10:00:00,3.153462193,8.053550021,3.153462193
 01/06  11:00:00,4.569615154,10.94105002,4.569615154
 01/06  12:00:00,5.595567837,13.55355002,5.595567837
 01/06  13:00:00,6.413538249,15.12855002,6.413538249
 01/06  14:00:00,6.932076677,16.26605002,6.932076677
 01/06  15:00:00,7.338599636,17.67855002,7.338599636
 01/06  16:00:00,7.497795254,18.27855002,7.497795254
 01/06  17:00:00,7.737146174,18.65355002,7.737146174
 01/06  18:00:00,7.391620392,17.81605002,7.391620392
 01/06  19:00:00,6.869933711,16.17855002,6.869933711
 01/06  20:00:00,6.462539711,14.51605002,6.462539711
 01/06  21:00:00,6.375425068,13.19105002,6.375425068
 01/06  22:00:00,6.088799348,12.09105002,6.088799348
 01/06  23:00:00,5.527963971,11.30355002,5.527963971
 01/06  24:00:00,5.085735219,10.39105002,5.085735219
 01/07  01:00:00,4.63949928,9.603550021,4.63949928
 01/07  02:00:00,4.577886457,9.378550021,4.577886457
 01/07  03:00:00,4.51222967,9.066050021,4.51222967
 01/07  04:00:00,3.944734896,8.503550021,3.944734896
 01/07  05:00:00,3.58822411,7.591050021,3.58822411
 01/07  06:00:00,3.535271221,7.178550021,3.535271221
 01/07  07:00:00,3.642139533,7.178550021,3.642139533
 01/07  08:00:00,3.541337624,6.866050021,3.541337624
 01/07  09:00:00,3.871443609,7.678550021,3.871443609
 01/07  10:00:00,4.991045158,10.40355002,4.991045158
 01/07  11:00:00,6.144735395,13.05355002,6.144735395
 01/07  12:00:00,7.579663877,15.62855002,7.579663877
 01/07  13:00:00,8.715474856,17.67855002,8.715474856
 01/07  14:00:00,9.471004808,19.34105002,9.471004808
 01/07  15:00:00,10.08944039,20.66605002,10.08944039
 01/07  16:00:00,10.76120259,21.76605002,10.76120259
 01/07  17:00:00,11.04187161,21.86605002,11.04187161
 01/07  18:00:00,10.52236137,20.61605002,10.52236137
 01/07  19:00:00,10.01420389,19.29105002,10.01420389
 01/07  20:00:00,9.663717105,17.81605002,9.663717105
 01/07  21:00:00,9.440420887,16.86605002,9.440420887
 01/07  22:00:00,8.761568232,15.24105002,8.761568232
 01/07  23:00:00,8.50784151,14.75355002,8.50784151
 01/07  24:00:00,8.26169454,13.91605002,8.26169454
 01/08  01:00:00,7.719241514,12.96605002,7.719241514
 01/08  02:00:00,7.093742945,12.09105002,7.093742945
 01/08  03:00:00,7.091195013,11.99105002,7.091195013
 01/08  04:00:00,6.673040607,11.17855002,6.673040607
 01/08  05:00:00,6.247041421,10.20355002,6.247041421
 01/08  06:00:00,6.050802689,9.603550021,6.050802689
 01/08  07:00:00,5.800487105,9.066050021,5.800487105
 01/08  08:00:00,5.591851972,8.878550021,5.591851972
 01/08  09:00:00,6.626892577,10.94105002,6.626892577
 01/08  10:00:00,8.104209095,13.92855002,8.104209095
 01/08  11:00:00,9.717523258,17.41605002,9.717523258
 01/08  12:00:00,11.11640635,20.62855002,11.11640635
 01/08  13:00:00,11.91727948,22.67855002,11.91727948
 01/08  14:00:00,12.67996092,25.02855002,12.67996092
 01/08  15:00:00,13.28560504,26.76605002,13.28560504
 01/08  16:00:00,13.26453169,26.86605002,13.26453169
 01/08  17:00:00,13.14092807,26.67855002,13.14092807
 01/08  18:00:00,12.88114707,24.55355002,12.88114707
 01/08  19:00:00,12.27764505,22.27855002,12.27764505
 01/08  20:00:00,11.74850048,20.99105002,11.74850048
 01/08  21:00:00,11.07946447,18.14105002,11.07946447
 01/08  22:00:00,10.20392288,16.67855002,10.20392288
 01/08  23:00:00,9.531091582,15.99105002,9.531091582
 01/08  24:00:00,8.850916303,14.82855002,8.850916303
 01/09  01:00:00,8.399029887,14.06605002,8.399029887
 01/09  02:00:00,8.435724266,13.87855002,8.435724266
 01/09  03:00:00,8.214700562,13.50355002,8.214700562
 01/09  04:00:00,7.736616418,12.59105002,7.736616418
 01/09  05:00:00,7.22851122,11.86605002,7.22851122
 01/09  06:00:00,7.614920356,13.05355002,7.614920356
 01/09  07:00:00,7.440420789,12.81605002,7.440420789
 01/09  08:00:00,7.07030774,11.86605002,7.07030774
 01/09  09:00:00,7.687796689,13.05355002,7.687796689
 01/09  10:00:00,8.692916633,15.25355002,8.692916633
 01/09  11:00:00,9.440144544,17.14105002,9.440144544
 01/09  12:00:00,10.29322426,19.15355002,10.29322426
 01/09  13:00:00,10.94365281,20.66605002,10.94365281
 01/09  14:00:00,11.37083883,21.45355002,11.37083883
 01/09  15:00:00,11.635127,21.99105002,11.635127
 01/09  16:00:00,11.701757,22.17855002,11.701757
 01/09  17:00:00,12.01594092,21.86605002,12.01594092
 01/09  18:00:00,11.92167726,20.24105002,11.92167726
 01/09  19:00:00,11.44691339,19.37855002,11.44691339
 01/09  20:00:00,11.05447665,18.37855002,11.05447665
 01/09  21:00:00,10.77170514,17.09105002,10.77170514
 01/09  22:00:00,10.20275636,15.99105002,10.20275636
 01/09  23:00:00,9.619185114,15.89105002,9.619185114
 01/09  24:00:00,9.73830521,15.76605002,9.73830521
 01/10  01:00:00,9.933625558,15.89105002,9.933625558
 01/10  02:00:00,9.770558591,15.76605002,9.770558591
 01/10  03:00:00,9.513982071,15.20355002,9.513982071
 01/10  04:00:00,9.26127473,14.60355002,9.26127473
 01/10  05:00:00,8.906316732,14.06605002,8.906316732
 01/10  06:00:00,8.579670881,13.50355002,8.579670881
 01/10  07:00:00,8.648916964,13.65355002,8.648916964
 01/10  08:00:00,8.720447416,13.50355002,8.720447416
 01/10  09:00:00,8.995617815,13.96605002,8.995617815
 01/10  10:00:00,9.665417198,15.44105002,9.665417198
 01/10  11:00:00,10.09616018,16.76605002,10.09616018
 01/10  12:00:00,10.73340886,18.24105002,10.73340886
 01/10  13:00:00,11.10998735,19.56605002,11.10998735
 01/10  14:00:00,11.61480556,21.35355002,11.61480556
 01/10  15:00:00,11.886112,22.17855002,11.886112
 01/10  16:00:00,12.36736335,22.86605002,12.36736335
 01/10  17:00:00,12.5182751,20.84105002,12.5182751
 01/10  18:00:00,12.5479511,18.00355002,12.5479511
 01/10  19:00:00,12.15848664,17.17855002,12.15848664
 01/10  20:00:00,11.75589002,16.49105002,11.75589002
 01/10  21:00:00,11.4931329,16.76605002,11.4931329
 01/10  22:00:00,10.89317293,15.11605002,10.89317293
 01/10  23:00:00,9.375321055,15.25355002,9.375321055
 01/10  24:00:00,8.388461128,15.76605002,8.388461128
 01/11  01:00:00,7.844361526,13.82855002,7.844361526
 01/11  02:00:00,7.141522234,13.46605002,7.141522234
 01/11  03:00:00,6.581619716,12.12855002,6.581619716
 01/11  04:00:00,6.397176896,12.14105002,6.397176896
 01/11  05:00:00,6.324667926,12.40355002,6.324667926
 01/11  06:00:00,6.885270131,12.86605002,6.885270131
 01/11  07:00:00,6.735857485,12.27855002,6.735857485
 01/11  08:00:00,7.102154547,13.05355002,7.102154547
 01/11  09:00:00,8.122853589,15.62855002,8.122853589
 01/11  10:00:00,8.687623403,16.99105002,8.687623403
 01/11  11:00:00,9.35182199,18.55355002,9.35182199
 01/11  12:00:00,10.17467585,20.44105002,10.17467585
 01/11  13:00:00,10.51764718,21.45355002,10.51764718
 01/11  14:00:00,10.52974263,22.36605002,10.52974263
 01/11  15:00:00,11.06668978,23.46605002,11.06668978
 01/11  16:00:00,11.1600919,23.50355002,11.1600919
 01/11  17:00:00,11.25227123,23.65355002,11.25227123
 01/11  18:00:00,10.83479838,22.12855002,10.83479838
 01/11  19:00:00,10.04976654,20.01605002,10.04976654
 01/11  20:00:00,9.495383644,18.69105002,9.495383644
 01/11  21:00:00,8.850315411,16.90355002,8.850315411
 01/11  22:00:00,8.137819527,15.01605002,8.137819527
 01/11  23:00:00,8.153882978,14.06605002,8.153882978
 01/11  24:00:00,7.858233548,12.81605002,7.858233548
 01/12  01:00:00,7.373437118,12.17855002,7.373437118
 01/12  02:00:00,7.052003625,12.17855002,7.052003625
 01/12  03:00:00,6.795228341,12.17855002,6.795228341
 01/12  04:00:00,6.260199042,11.86605002,6.260199042
 01/12  05:00:00,5.832937992,10.99105002,5.832937992
 01/12  06:00:00,5.354461567,9.828550021,5.354461567
 01/12  07:00:00,5.011336534,9.753550021,5.011336534
 01/12  08:00:00,5.298048875,9.603550021,5.298048875
 01/12  09:00:00,6.286319615,10.44105002,6.286319615
 01/12  10:00:00,7.723450268,13.51605002,7.723450268
 01/12  11:00:00,8.718099637,16.04105002,8.718099637
 01/12  12:00:00,9.39236546,18.05355002,9.39236546
 01/12  13:00:00,9.682680467,19.56605002,9.682680467
 01/12  14:00:00,10.00967316,21.04105002,10.00967316
 01/12  15:00:00,10.4584026,22.67855002,10.4584026
 01/12  16:00:00,10.19353932,22.59105002,10.19353932
 01/12  17:00:00,10.48090893,22.86605002,10.48090893
 01/12  18:00:00,10.38644066,21.90355002,10.38644066
 01/12  19:00:00,9.789994117,19.70355002,9.789994117
 01/12  20:00:00,9.40156936,18.50355002,9.40156936
 01/12  21:00:00,9.015979206,16.59105002,9.015979206
 01/12  22:00:00,8.268651764,15.20355002,8.268651764
 01/12  23:00:00,7.807342917,14.29105002,7.807342917
 01/12  24:00:00,7.219038888,12.81605002,7.219038888
 01/13  01:00:00,6.455242772,11.86605002,6.455242772
 01/13  02:00:00,5.959447249,10.61605002,5.959447249
 01/13  03:00:00,5.924711642,9.978550021,5.924711642
 01/13  04:00:00,5.556929149,9.603550021,5.556929149
 01/13  05:00:00,5.053926896,8.691050021,5.053926896
 01/13  06:00:00,4.677536897,8.278550021,4.677536897
 01/13  07:00:00,4.495362137,7.966050021,4.495362137
 01/13  08:00:00,4.466039065,7.778550021,4.466039065
 01/13  09:00:00,5.19276141,9.153550021,5.19276141
 01/13  10:00:00,6.596360758,12.41605002,6.596360758
 01/13  11:00:00,7.781051051,15.62855002,7.781051051
 01/13  12:00:00,8.639406088,17.36605002,8.639406088
 01/13  13:00:00,9.356167568,18.77855002,9.356167568
 01/13  14:00:00,9.655745973,19.75355002,9.655745973
 01/13  15:00:00,10.04686284,20.66605002,10.04686284
 01/13  16:00:00,9.82829124,21.07855002,9.82829124
 01/13  17:00:00,9.804182192,21.45355002,9.804182192
 01/13  18:00:00,9.541157285,20.24105002,9.541157285
 01/13  19:00:00,8.614415465,18.00355002,8.614415465
 01/13  20:00:00,7.735894865,15.80355002,7.735894865
 01/13  21:00:00,7.68646823,13.91605002,7.68646823
 01/13  22:00:00,7.263667101,12.96605002,7.263667101
 01/13  23:00:00,6.261868959,12.09105002,6.261868959
 01/13  24:00:00,5.625577512,11.30355002,5.625577512
 01/14  01:00:00,5.446691772,10.39105002,5.446691772
 01/14  02:00:00,5.038337918,9.603550021,5.038337918
 01/14  03:00:00,4.675505629,9.066050021,4.675505629
 01/14  04:00:00,4.353266749,8.878550021,4.353266749
 01/14  05:00:00,3.706601758,8.191050021,3.706601758
 01/14  06:00:00,3.201481313,7.403550021,3.201481313
 01/14  07:00:00,3.280834201,7.553550021,3.280834201
 01/14  08:00:00,3.42989272,8.091050021,3.42989272
 01/14  09:00:00,4.278508893,10.02855002,4.278508893
 01/14  10:00:00,5.551987563,12.82855002,5.551987563
 01/14  11:00:00,6.398452284,15.25355002,6.398452284
 01/14  12:00:00,7.679687543,17.82855002,7.679687543
 01/14  13:00:00,8.656138562,19.56605002,8.656138562
 01/14  14:00:00,9.20341527,20.35355002,9.20341527
 01/14  15:00:00,9.74744147,21.26605002,9.74744147
 01/14  16:00:00,10.15302996,22.36605002,10.15302996
 01/14  17:00:00,10.15106276,22.40355002,10.15106276
 01/14  18:00:00,10.09520153,21.17855002,10.09520153
 01/14  19:00:00,9.181526401,18.82855002,9.181526401
 01/14  20:00:00,8.671401192,16.40355002,8.671401192
 01/14  21:00:00,8.247868972,15.57855002,8.247868972
 01/14  22:00:00,7.519158465,14.51605002,7.519158465
 01/14  23:00:00,6.857492481,13.50355002,6.857492481
 01/14  24:00:00,6.256634271,12.59105002,6.256634271
 01/15  01:00:00,6.119416425,11.86605002,6.119416425
 01/15  02:00:00,5.740408667,11.30355002,5.740408667
 01/15  03:00:00,5.363298915,10.76605002,5.363298915
 01/15  04:00:00,4.79944255,10.20355002,4.79944255
 01/15  05:00:00,4.50779582,9.978550021,4.50779582
 01/15  06:00:00,4.209907707,9.603550021,4.209907707
 01/15  07:00:00,4.20155796,9.753550021,4.20155796
 01/15  08:00:00,4.304568728,9.978550021,4.304568728
 01/15  09:00:00,4.578079267,10.66605002,4.578079267
 01/15  10:00:00,5.636549016,12.45355002,5.636549016
 01/15  11:00:00,6.451601991,13.96605002,6.451601991
 01/15  12:00:00,7.126604553,14.75355002,7.126604553
 01/15  13:00:00,8.050253155,16.04105002,8.050253155
 01/15  14:00:00,9.036783124,18.05355002,9.036783124
 01/15  15:00:00,9.714043299,19.19105002,9.714043299
 01/15  16:00:00,9.867304297,19.75355002,9.867304297
 01/15  17:00:00,9.889166689,20.35355002,9.889166689
 01/15  18:00:00,9.874434471,18.45355002,9.874434471
 01/15  19:00:00,9.342771695,16.86605002,9.342771695
 01/15  20:00:00,8.815886239,16.30355002,8.815886239
 01/15  21:00:00,8.565344788,16.07855002,8.565344788
 01/15  22:00:00,8.364063695,15.76605002,8.364063695
 01/15  23:00:00,7.927104428,14.51605002,7.927104428
 01/15  24:00:00,7.800692936,14.19105002,7.800692936
 01/16  01:00:00,7.98344492,14.06605002,7.98344492
 01/16  02:00:00,7.714878977,13.19105002,7.714878977
 01/16  03:00:00,7.78357157,12.77855002,7.78357157
 01/16  04:00:00,8.151706765,12.77855002,8.151706765
 01/16  05:00:00,7.890207973,12.40355002,7.890207973
 01/16  06:00:00,7.659758323,12.17855002,7.659758323
 01/16  07:00:00,7.858321851,12.17855002,7.858321851
 01/16  08:00:00,7.780018912,12.17855002,7.780018912
 01/16  09:00:00,7.897717748,12.86605002,7.897717748
 01/16  10:00:00,8.172847632,13.27855002,8.172847632
 01/16  11:00:00,8.845850349,14.34105002,8.845850349
 01/16  12:00:00,9.667593605,15.66605002,9.667593605
 01/16  13:00:00,10.25757466,16.76605002,10.25757466
 01/16  14:00:00,11.01313086,17.17855002,11.01313086
 01/16  15:00:00,11.99258964,17.17855002,11.99258964
 01/16  16:00:00,12.52710396,17.17855002,12.52710396
 01/16  17:00:00,12.3505868,16.86605002,12.3505868
 01/16  18:00:00,12.01341557,16.30355002,12.01341557
 01/16  19:00:00,11.77967391,15.76605002,11.77967391
 01/16  20:00:00,11.45818345,14.82855002,11.45818345
 01/16  21:00:00,11.303027,14.37855002,11.303027
 01/16  22:00:00,10.9537007,14.06605002,10.9537007
 01/16  23:00:00,10.40943201,13.87855002,10.40943201
 01/16  24:00:00,9.398877956,12.81605002,9.398877956
 01/17  01:00:00,7.083871788,11.86605002,7.083871788
 01/17  02:00:00,5.34374116,11.30355002,5.34374116
 01/17  03:00:00,4.693575544,10.39105002,4.693575544
 01/17  04:00:00,4.396905948,9.978550021,4.396905948
 01/17  05:00:00,4.268855542,9.291050021,4.268855542
 01/17  06:00:00,3.830285984,8.191050021,3.830285984
 01/17  07:00:00,3.635705201,8.466050021,3.635705201
 01/17  08:00:00,3.53021852,8.503550021,3.53021852
 01/17  09:00:00,3.819663119,8.653550021,3.819663119
 01/17  10:00:00,4.22419201,9.566050021,4.22419201
 01/17  11:00:00,5.198272696,11.35355002,5.198272696
 01/17  12:00:00,6.01472477,12.86605002,6.01472477
