Date/Time,ZONE 1:Zone Measured Air Temperature [C](TimeStep),ZONE 2:Zone Measured Air Temperature [C](TimeStep),ZONE 3:Zone Measured Air Temperature [C](TimeStep),ZONE 4:Zone Measured Air Temperature [C](TimeStep)
 01/01  00:10:00,-3.175305524,-2.445735396,-3.13281076,-2.934598688
 01/01  00:20:00,-3.433335234,-2.524211973,-3.169309726,-2.95632055
 01/01  00:30:00,-3.655379655,-2.593239314,-3.209181972,-2.982893427
 01/01  00:40:00,-4.180841566,-2.777011892,-3.315007928,-3.053525452
 01/01  00:50:00,-4.69245878,-2.993744768,-3.449960798,-3.145456058
 01/01  01:00:00,-5.17735987,-3.244014844,-3.614179729,-3.257646873
 01/01  01:10:00,-5.545700798,-3.495754979,-3.786475787,-3.376219836
 01/01  01:20:00,-5.763851056,-3.721965908,-3.947704213,-3.489962168
 01/01  01:30:00,-5.874117058,-3.917367715,-4.093283988,-3.595843856
 01/01  01:40:00,-5.928716229,-4.085728571,-4.224611715,-3.694293758
 01/01  01:50:00,-5.960096012,-4.2321032,-4.344047189,-3.786383643
 01/01  02:00:00,-5.98178621,-4.360392564,-4.453373288,-3.872931384
 01/01  02:10:00,-5.996443437,-4.472966119,-4.553558286,-3.954316178
 01/01  02:20:00,-6.004932087,-4.57164624,-4.645325641,-4.030812491
 01/01  02:30:00,-6.008572753,-4.658059403,-4.729351538,-4.102695515
 01/01  02:40:00,-6.008891581,-4.733691338,-4.806289134,-4.170247572
 01/01  02:50:00,-6.007042705,-4.799871494,-4.876751125,-4.233743662
 01/01  03:00:00,-6.003769721,-4.8577665,-4.941297658,-4.293441972
 01/01  03:10:00,-6.006644961,-4.910313708,-5.001608169,-4.350378899
 01/01  03:20:00,-6.017429592,-4.959428236,-5.058809191,-4.405248334
 01/01  03:30:00,-6.033865012,-5.005979608,-5.11343664,-4.458367255
 01/01  03:40:00,-6.053220376,-5.050320195,-5.165746755,-4.509875313
 01/01  03:50:00,-6.073802261,-5.0926627,-5.215907223,-4.559857918
 01/01  04:00:00,-6.094900058,-5.133199115,-5.264080492,-4.608400609
 01/01  04:10:00,-6.110407073,-5.17055598,-5.309458941,-4.654932383
 01/01  04:20:00,-6.118983679,-5.204076417,-5.351645786,-4.699150153
 01/01  04:30:00,-6.122555602,-5.233849096,-5.390679692,-4.741040998
 01/01  04:40:00,-6.123407589,-5.260275472,-5.426788824,-4.78072279
 01/01  04:50:00,-6.122955902,-5.28378677,-5.460228958,-4.818338063
