Date/Time,Environment:Site Sky Temperature [C](Hourly),Outdoor Air Drybulb Temperature [C],Outdoor Air Wetbulb Temperature [C],Outdoor Air Wind Speed [m/s],Outdoor Air Wind Direction [degree]
 01/01  01:00:00,-4.160578419,11.02855002,7.495539415,1.623862439,98.75
 01/01  02:00:00,-5.836862115,9.291050021,7.389262033,1.143565098,166.25
 01/01  03:00:00,-6.182679855,8.878550021,7.201369262,1.05207989,150
 01/01  04:00:00,-6.327707871,8.878550021,7.03925129,0.343069529,45
 01/01  05:00:00,-6.705921508,8.503550021,6.753252818,0,0
 01/01  06:00:00,-7.320322046,7.966050021,6.292757838,0.571782549,37.5
 01/01  07:00:00,-7.879205865,7.403550021,5.886563482,1.334159281,78.75
 01/01  08:00:00,-7.761176123,7.553550021,5.967168118,1.395149419,90
 01/01  09:00:00,-7.290622552,8.091050021,6.221946533,0.480297341,33.75
 01/01  10:00:00,-5.102214592,10.40355002,7.255109801,0.571782549,25
 01/01  11:00:00,-2.225691839,13.74105002,8.327626984,2.096536013,58.75
 01/01  12:00:00,-0.272810225,16.04105002,9.097259486,1.852575458,82.5
 01/01  13:00:00,0.298027911,16.67855002,9.389902171,0.480297341,33.75
 01/01  14:00:00,1.101049318,17.36605002,9.825500151,0.800495568,0
 01/01  15:00:00,1.582862162,17.77855002,10.08587127,1.280792909,0
 01/01  16:00:00,1.715609102,18.09105002,10.05465528,0.480297341,0
 01/01  17:00:00,2.976363098,18.65355002,10.21865998,0.991089751,285
 01/01  18:00:00,2.768495507,17.81605002,9.814118964,1.395149419,240
 01/01  19:00:00,0.203730756,15.80355002,9.174854002,1.05207989,227.5
 01/01  20:00:00,-0.190673894,14.97855002,8.874605444,1.143565098,226.25
 01/01  21:00:00,-0.928153423,14.60355002,8.679853356,0.480297341,221.25
 01/01  22:00:00,-2.356726167,13.69105002,8.250146971,0.991089751,56.25
 01/01  23:00:00,-2.63318939,13.65355002,7.845495092,2.348120334,71.25
 01/01  24:00:00,-2.410724297,13.19105002,7.246652519,2.805546373,72.5
