Time,DOAS2:DesPer 1:Des Heat Mass Flow [kg/s],DOAS2:DesPer 1:Des Heat Cap [W],DOAS2:DesPer 1:Des Cool Mass Flow [kg/s],DOAS2:DesPer 1:Des Sens Cool Cap [W],DOAS2:DesPer 1:Des Tot Cool Cap [W],DOAS2:DesPer 2:Des Heat Mass Flow [kg/s],DOAS2:DesPer 2:Des Heat Cap [W],DOAS2:DesPer 2:Des Cool Mass Flow [kg/s],DOAS2:DesPer 2:Des Sens Cool Cap [W],DOAS2:DesPer 2:Des Tot Cool Cap [W],DOAS2:DesPer 3:Des Heat Mass Flow [kg/s],DOAS2:DesPer 3:Des Heat Cap [W],DOAS2:DesPer 3:Des Cool Mass Flow [kg/s],DOAS2:DesPer 3:Des Sens Cool Cap [W],DOAS2:DesPer 3:Des Tot Cool Cap [W],DOAS1:DesPer 1:Des Heat Mass Flow [kg/s],DOAS1:DesPer 1:Des Heat Cap [W],DOAS1:DesPer 1:Des Cool Mass Flow [kg/s],DOAS1:DesPer 1:Des Sens Cool Cap [W],DOAS1:DesPer 1:Des Tot Cool Cap [W],DOAS1:DesPer 2:Des Heat Mass Flow [kg/s],DOAS1:DesPer 2:Des Heat Cap [W],DOAS1:DesPer 2:Des Cool Mass Flow [kg/s],DOAS1:DesPer 2:Des Sens Cool Cap [W],DOAS1:DesPer 2:Des Tot Cool Cap [W],DOAS1:DesPer 3:Des Heat Mass Flow [kg/s],DOAS1:DesPer 3:Des Heat Cap [W],DOAS1:DesPer 3:Des Cool Mass Flow [kg/s],DOAS1:DesPer 3:Des Sens Cool Cap [W],DOAS1:DesPer 3:Des Tot Cool Cap [W],AHU3:DesPer 1:Des Heat Mass Flow [kg/s],AHU3:DesPer 1:Des Heat Cap [W],AHU3:DesPer 1:Des Cool Mass Flow [kg/s],AHU3:DesPer 1:Des Sens Cool Cap [W],AHU3:DesPer 1:Des Tot Cool Cap [W],AHU3:DesPer 2:Des Heat Mass Flow [kg/s],AHU3:DesPer 2:Des Heat Cap [W],AHU3:DesPer 2:Des Cool Mass Flow [kg/s],AHU3:DesPer 2:Des Sens Cool Cap [W],AHU3:DesPer 2:Des Tot Cool Cap [W],AHU3:DesPer 3:Des Heat Mass Flow [kg/s],AHU3:DesPer 3:Des Heat Cap [W],AHU3:DesPer 3:Des Cool Mass Flow [kg/s],AHU3:DesPer 3:Des Sens Cool Cap [W],AHU3:DesPer 3:Des Tot Cool Cap [W],DOAS5:DesPer 1:Des Heat Mass Flow [kg/s],DOAS5:DesPer 1:Des Heat Cap [W],DOAS5:DesPer 1:Des Cool Mass Flow [kg/s],DOAS5:DesPer 1:Des Sens Cool Cap [W],DOAS5:DesPer 1:Des Tot Cool Cap [W],DOAS5:DesPer 2:Des Heat Mass Flow [kg/s],DOAS5:DesPer 2:Des Heat Cap [W],DOAS5:DesPer 2:Des Cool Mass Flow [kg/s],DOAS5:DesPer 2:Des Sens Cool Cap [W],DOAS5:DesPer 2:Des Tot Cool Cap [W],DOAS5:DesPer 3:Des Heat Mass Flow [kg/s],DOAS5:DesPer 3:Des Heat Cap [W],DOAS5:DesPer 3:Des Cool Mass Flow [kg/s],DOAS5:DesPer 3:Des Sens Cool Cap [W],DOAS5:DesPer 3:Des Tot Cool Cap [W],DOAS4:DesPer 1:Des Heat Mass Flow [kg/s],DOAS4:DesPer 1:Des Heat Cap [W],DOAS4:DesPer 1:Des Cool Mass Flow [kg/s],DOAS4:DesPer 1:Des Sens Cool Cap [W],DOAS4:DesPer 1:Des Tot Cool Cap [W],DOAS4:DesPer 2:Des Heat Mass Flow [kg/s],DOAS4:DesPer 2:Des Heat Cap [W],DOAS4:DesPer 2:Des Cool Mass Flow [kg/s],DOAS4:DesPer 2:Des Sens Cool Cap [W],DOAS4:DesPer 2:Des Tot Cool Cap [W],DOAS4:DesPer 3:Des Heat Mass Flow [kg/s],DOAS4:DesPer 3:Des Heat Cap [W],DOAS4:DesPer 3:Des Cool Mass Flow [kg/s],DOAS4:DesPer 3:Des Sens Cool Cap [W],DOAS4:DesPer 3:Des Tot Cool Cap [W],DOAS6:DesPer 1:Des Heat Mass Flow [kg/s],DOAS6:DesPer 1:Des Heat Cap [W],DOAS6:DesPer 1:Des Cool Mass Flow [kg/s],DOAS6:DesPer 1:Des Sens Cool Cap [W],DOAS6:DesPer 1:Des Tot Cool Cap [W],DOAS6:DesPer 2:Des Heat Mass Flow [kg/s],DOAS6:DesPer 2:Des Heat Cap [W],DOAS6:DesPer 2:Des Cool Mass Flow [kg/s],DOAS6:DesPer 2:Des Sens Cool Cap [W],DOAS6:DesPer 2:Des Tot Cool Cap [W],DOAS6:DesPer 3:Des Heat Mass Flow [kg/s],DOAS6:DesPer 3:Des Heat Cap [W],DOAS6:DesPer 3:Des Cool Mass Flow [kg/s],DOAS6:DesPer 3:Des Sens Cool Cap [W],DOAS6:DesPer 3:Des Tot Cool Cap [W]
00:15:00,2.615514E+01,8.778260E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.477978E+01,6.311291E+05,1.567643E+06,2.558231E+01,0.000000E+00,5.464016E+01,5.197093E+05,1.756829E+06,9.520156E+00,3.195181E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.037567E+01,3.499644E+05,8.692659E+05,9.217093E+00,0.000000E+00,3.021344E+01,2.873748E+05,9.714443E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.815936E+05,6.240894E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.659203E+05,6.522629E+05,1.178436E+01,3.955098E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,2.035953E+01,2.345664E+05,5.826323E+05,1.171109E+01,0.000000E+00,2.003102E+01,1.905249E+05,6.440518E+05,1.146217E+01,3.846966E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.384689E+01,2.747450E+05,6.824307E+05,1.111367E+01,0.000000E+00,2.338090E+01,2.223872E+05,7.517594E+05,6.429082E+00,2.157746E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.634083E+00,6.491143E+04,1.612315E+05,4.718959E+00,0.000000E+00,5.365940E+00,5.103808E+04,1.725295E+05
00:30:00,2.616659E+01,8.782105E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.416200E+01,6.152763E+05,1.540944E+06,2.558231E+01,0.000000E+00,5.402280E+01,5.051245E+05,1.704172E+06,9.527433E+00,3.197623E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.033613E+01,3.446162E+05,8.630826E+05,9.217093E+00,0.000000E+00,3.017374E+01,2.821308E+05,9.518436E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.803370E+05,6.228124E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.646640E+05,6.475423E+05,1.178634E+01,3.955763E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,2.027146E+01,2.302822E+05,5.767360E+05,1.171109E+01,0.000000E+00,1.997539E+01,1.867741E+05,6.301321E+05,1.146547E+01,3.848074E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.374051E+01,2.696905E+05,6.754329E+05,1.111367E+01,0.000000E+00,2.327471E+01,2.176234E+05,7.342106E+05,6.470281E+00,2.171573E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.655067E+00,6.424114E+04,1.608903E+05,4.718959E+00,0.000000E+00,5.386975E+00,5.036934E+04,1.699344E+05
00:45:00,2.617732E+01,8.785704E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.356400E+01,5.998443E+05,1.515009E+06,2.558231E+01,0.000000E+00,5.342534E+01,4.909217E+05,1.653099E+06,9.534297E+00,3.199927E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.029829E+01,3.392999E+05,8.569599E+05,9.217093E+00,0.000000E+00,3.013576E+01,2.769153E+05,9.324674E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.790799E+05,6.215420E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.634071E+05,6.428424E+05,1.178820E+01,3.956388E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,2.018640E+01,2.260603E+05,5.709540E+05,1.171109E+01,0.000000E+00,1.992162E+01,1.830584E+05,6.164193E+05,1.146853E+01,3.849099E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.363818E+01,2.647157E+05,6.685847E+05,1.111367E+01,0.000000E+00,2.319050E+01,2.130958E+05,7.175656E+05,6.509238E+00,2.184649E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.673429E+00,6.353472E+04,1.604678E+05,4.718959E+00,0.000000E+00,5.405534E+00,4.967107E+04,1.672593E+05
01:00:00,2.618757E+01,8.789146E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.297350E+01,5.846879E+05,1.489486E+06,2.558231E+01,0.000000E+00,5.283536E+01,4.769791E+05,1.603188E+06,9.540868E+00,3.202132E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.026172E+01,3.340097E+05,8.508860E+05,9.217093E+00,0.000000E+00,3.009940E+01,2.717269E+05,9.133088E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.778225E+05,6.202710E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.621499E+05,6.381724E+05,1.178997E+01,3.956982E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,2.012606E+01,2.221387E+05,5.658960E+05,1.171109E+01,0.000000E+00,1.988453E+01,1.795105E+05,6.033579E+05,1.147144E+01,3.850077E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.353908E+01,2.598095E+05,6.618617E+05,1.111367E+01,0.000000E+00,2.311857E+01,2.087063E+05,7.014887E+05,6.546852E+00,2.197273E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.689471E+00,6.279677E+04,1.599741E+05,4.718959E+00,0.000000E+00,5.421844E+00,4.894651E+04,1.645155E+05
01:15:00,2.619776E+01,8.792565E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.243277E+01,5.730821E+05,1.468460E+06,2.558231E+01,0.000000E+00,5.230141E+01,4.665354E+05,1.566212E+06,9.547302E+00,3.204292E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.022641E+01,3.303700E+05,8.465370E+05,9.217093E+00,0.000000E+00,3.006762E+01,2.682071E+05,9.004017E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.769844E+05,6.194336E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.613119E+05,6.350649E+05,1.179168E+01,3.957558E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,2.007542E+01,2.194213E+05,5.622429E+05,1.171109E+01,0.000000E+00,1.987344E+01,1.772736E+05,5.951278E+05,1.147441E+01,3.851075E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.344311E+01,2.562296E+05,6.565603E+05,1.111367E+01,0.000000E+00,2.304879E+01,2.055982E+05,6.902167E+05,6.584382E+00,2.209868E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.703651E+00,6.234003E+04,1.597395E+05,4.718959E+00,0.000000E+00,5.436274E+00,4.849227E+04,1.627941E+05
01:30:00,2.620725E+01,8.795750E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.207332E+01,5.635545E+05,1.452612E+06,2.558231E+01,0.000000E+00,5.194177E+01,4.577426E+05,1.534904E+06,9.553378E+00,3.206331E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.019591E+01,3.267900E+05,8.423305E+05,9.217093E+00,0.000000E+00,3.003702E+01,2.647046E+05,8.876085E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.761464E+05,6.185853E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.604742E+05,6.319900E+05,1.179330E+01,3.958101E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,2.002674E+01,2.167359E+05,5.586562E+05,1.171109E+01,0.000000E+00,1.986572E+01,1.750688E+05,5.870415E+05,1.147712E+01,3.851982E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.335116E+01,2.527139E+05,6.513928E+05,1.111367E+01,0.000000E+00,2.298198E+01,2.025312E+05,6.791286E+05,6.620018E+00,2.221829E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.716978E+00,6.187101E+04,1.594780E+05,4.718959E+00,0.000000E+00,5.449896E+00,4.802780E+04,1.610470E+05
01:45:00,2.621606E+01,8.798707E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.167759E+01,5.537154E+05,1.435836E+06,2.558231E+01,0.000000E+00,5.154593E+01,4.487120E+05,1.502916E+06,9.559083E+00,3.208246E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.016750E+01,3.232390E+05,8.381888E+05,9.217093E+00,0.000000E+00,3.000857E+01,2.612273E+05,8.749550E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.753078E+05,6.177413E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.596356E+05,6.289243E+05,1.179482E+01,3.958611E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,1.998052E+01,2.140874E+05,5.551486E+05,1.171109E+01,0.000000E+00,1.985909E+01,1.728751E+05,5.790282E+05,1.147952E+01,3.852789E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.326488E+01,2.492787E+05,6.464029E+05,1.111367E+01,0.000000E+00,2.292592E+01,1.995722E+05,6.684472E+05,6.653732E+00,2.233144E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.735518E+00,6.145497E+04,1.593585E+05,4.718959E+00,0.000000E+00,5.468470E+00,4.760352E+04,1.594433E+05
02:00:00,2.622483E+01,8.801650E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.125393E+01,5.436652E+05,1.418374E+06,2.558231E+01,0.000000E+00,5.112211E+01,4.395259E+05,1.470525E+06,9.564670E+00,3.210121E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.013932E+01,3.196964E+05,8.340592E+05,9.217093E+00,0.000000E+00,2.998030E+01,2.577577E+05,8.623819E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.744686E+05,6.168963E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.587964E+05,6.258712E+05,1.179630E+01,3.959107E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,1.993654E+01,2.114726E+05,5.517130E+05,1.171109E+01,0.000000E+00,1.986074E+01,1.707541E+05,5.712933E+05,1.148194E+01,3.853599E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.320226E+01,2.461131E+05,6.420869E+05,1.111367E+01,0.000000E+00,2.288874E+01,1.967875E+05,6.583935E+05,6.687331E+00,2.244420E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.752447E+00,6.101786E+04,1.591901E+05,4.718959E+00,0.000000E+00,5.485350E+00,4.716068E+04,1.577858E+05
02:15:00,2.623356E+01,8.804581E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.081174E+01,5.348773E+05,1.401906E+06,2.558231E+01,0.000000E+00,5.067977E+01,4.316360E+05,1.442964E+06,9.570131E+00,3.211954E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.011173E+01,3.169755E+05,8.307885E+05,9.217093E+00,0.000000E+00,2.995519E+01,2.551263E+05,8.528898E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.738394E+05,6.162661E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.581673E+05,6.235875E+05,1.179774E+01,3.959589E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,1.992228E+01,2.097148E+05,5.496596E+05,1.171109E+01,0.000000E+00,1.986233E+01,1.691660E+05,5.655238E+05,1.148435E+01,3.854411E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.314234E+01,2.436113E+05,6.385019E+05,1.111367E+01,0.000000E+00,2.285482E+01,1.946529E+05,6.507266E+05,6.720733E+00,2.255631E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.771065E+00,6.074997E+04,1.592248E+05,4.718959E+00,0.000000E+00,5.501514E+00,4.685601E+04,1.566401E+05
02:30:00,2.624213E+01,8.807455E+05,4.208916E+01,0.000000E+00,0.000000E+00,2.558231E+01,0.000000E+00,5.035715E+01,5.260312E+05,1.385171E+06,2.558231E+01,0.000000E+00,5.022503E+01,4.237130E+05,1.415361E+06,9.575413E+00,3.213727E+05,2.812076E+01,0.000000E+00,0.000000E+00,9.217093E+00,0.000000E+00,3.008482E+01,3.142663E+05,8.275412E+05,9.217093E+00,0.000000E+00,2.993361E+01,2.525286E+05,8.435410E+05,7.797528E+00,2.178245E+05,3.898749E+01,1.300674E+05,0.000000E+00,7.797528E+00,0.000000E+00,3.898749E+01,4.732105E+05,6.156355E+05,7.797528E+00,0.000000E+00,3.898749E+01,4.575384E+05,6.213166E+05,1.179912E+01,3.960054E+05,1.984513E+01,0.000000E+00,0.000000E+00,1.171109E+01,0.000000E+00,1.990845E+01,2.079638E+05,5.476203E+05,1.171109E+01,0.000000E+00,1.986385E+01,1.675772E+05,5.597711E+05,1.148670E+01,3.855197E+05,1.966019E+01,0.000000E+00,0.000000E+00,1.111367E+01,0.000000E+00,2.308456E+01,2.411415E+05,6.349855E+05,1.111367E+01,0.000000E+00,2.282645E+01,1.925706E+05,6.432585E+05,6.753475E+00,2.266620E+05,4.718959E+00,0.000000E+00,0.000000E+00,4.718959E+00,0.000000E+00,5.789994E+00,6.048232E+04,1.592650E+05,4.718959E+00,0.000000E+00,5.517169E+00,4.654444E+04,1.554760E+05
