ODB [C],IWB [C],PI [kW]
-5.0,13.9,3.68
-5.0,16.1,4.75
-5.0,17.8,5.61
-5.0,19.4,6.51
-5.0,21.1,7.44
-5.0,22.2,8.08
-5.0,23.9,9.05
-1.1,13.9,3.79
-1.1,16.1,4.9
-1.1,17.8,5.79
-1.1,19.4,6.72
-1.1,21.1,7.69
-1.1,22.2,8.35
-1.1,23.9,9.35
4.4,13.9,3.95
4.4,16.1,5.12
4.4,17.8,6.06
4.4,19.4,7.05
4.4,21.1,8.07
4.4,22.2,8.76
4.4,23.9,9.55
10.0,13.9,4.13
10.0,16.1,5.37
10.0,17.8,6.37
10.0,19.4,7.41
10.0,21.1,8.49
10.0,22.2,9.21
10.0,23.9,9.42
12.2,13.9,4.2
12.2,16.1,5.48
12.2,17.8,6.5
12.2,19.4,7.57
12.2,21.1,8.67
12.2,22.2,9.41
12.2,23.9,9.36
14.4,13.9,4.28
14.4,16.1,5.59
14.4,17.8,6.64
14.4,19.4,7.73
14.4,21.1,8.85
14.4,22.2,9.6
14.4,23.9,9.31
16.7,13.9,4.37
16.7,16.1,5.71
16.7,17.8,6.78
16.7,19.4,7.9
16.7,21.1,9.04
16.7,22.2,9.58
16.7,23.9,9.65
18.9,13.9,4.45
18.9,16.1,5.83
18.9,17.8,6.93
18.9,19.4,8.08
18.9,21.1,9.6
18.9,22.2,10.1
18.9,23.9,10.2
21.1,13.9,4.54
21.1,16.1,5.96
21.1,17.8,7.23
21.1,19.4,8.74
21.1,21.1,10.4
21.1,22.2,10.7
21.1,23.9,10.7
22.2,13.9,4.59
22.2,16.1,6.09
22.2,17.8,7.51
22.2,19.4,9.08
22.2,21.1,10.8
22.2,22.2,10.9
22.2,23.9,11.0
23.9,13.9,4.67
23.9,16.1,6.43
23.9,17.8,7.94
23.9,19.4,9.62
23.9,21.1,11.3
23.9,22.2,11.3
23.9,23.9,11.4
26.1,13.9,5.01
26.1,16.1,6.92
26.1,17.8,8.55
26.1,19.4,10.4
26.1,21.1,11.8
26.1,22.2,11.9
26.1,23.9,12.0
28.3,13.9,5.37
28.3,16.1,7.43
28.3,17.8,9.2
28.3,19.4,11.2
28.3,21.1,12.3
28.3,22.2,12.4
28.3,23.9,12.5
30.6,13.9,5.75
30.6,16.1,7.97
30.6,17.8,9.88
30.6,19.4,12.0
30.6,21.1,12.9
30.6,22.2,13.0
30.6,23.9,13.1
32.8,13.9,6.15
32.8,16.1,8.54
32.8,17.8,10.6
32.8,19.4,12.9
32.8,21.1,13.4
32.8,22.2,13.5
32.8,23.9,13.6
33.9,13.9,6.35
33.9,16.1,8.84
33.9,17.8,11.0
33.9,19.4,13.4
33.9,21.1,13.7
33.9,22.2,13.8
33.9,23.9,13.9
35.0,13.9,6.57
35.0,16.1,9.15
35.0,17.8,11.4
35.0,19.4,13.9
35.0,21.1,14.0
35.0,22.2,14.1
35.0,23.9,14.2
37.2,13.9,7.01
37.2,16.1,9.8
37.2,17.8,12.2
37.2,19.4,14.4
37.2,21.1,14.5
37.2,22.2,14.6
37.2,23.9,14.7
39.4,13.9,7.49
39.4,16.1,10.5
39.4,17.8,13.1
39.4,19.4,14.9
39.4,21.1,15.1
39.4,22.2,15.2
39.4,23.9,15.2
41.1,13.9,7.97
41.1,16.1,11.2
41.1,17.8,14.0
41.1,19.4,15.6
41.1,21.1,15.7
41.1,22.2,15.7
41.1,23.9,15.7
43.3,13.9,8.67
43.3,16.1,12.2
43.3,17.8,15.3
43.3,19.4,16.4
43.3,21.1,16.4
43.3,22.2,16.4
43.3,23.9,16.4
46.1,13.9,9.61
46.1,16.1,13.6
46.1,17.8,16.6
46.1,19.4,16.6
46.1,21.1,16.6
46.1,22.2,16.6
46.1,23.9,16.6
47.8,13.9,10.2
47.8,16.1,14.0
47.8,17.8,14.0
47.8,19.4,14.1
47.8,21.1,14.1
47.8,22.2,14.1
47.8,23.9,14.1
50.0,13.9,10.6
50.0,16.1,10.6
50.0,17.8,10.7
50.0,19.4,10.7
50.0,21.1,10.7
50.0,22.2,10.7
50.0,23.9,10.7
