1.2.2.030,1.2.3.xxx,
270,270, This number should be the number of following lines
"Zone/Sys Air Temp","Zone/Sys Air Temperature"
"Raining","Fraction of Time Raining"
"Snow On Ground","Fraction of Time Snow on Ground"
"Mean Air Temperature","Zone Mean Air Temperature"
"Mean Radiant Temperature","Zone Mean Radiant Temperature"
"VENTILATION CONTRIBUTION TO HEATING LOAD","Zone Mechanical Ventilation Heating Load Increase"
"VENTILATION REDUCTION OF HEATING LOAD","Zone Mechanical Ventilation Heating Load Decrease"
"VENTILATION NO LOAD HEAT ADDITION","Zone Mechanical Ventilation No Load Heat Addition"
"VENTILATION CONTRIBUTION TO COOLING LOAD","Zone Mechanical Ventilation Cooling Load Increase"
"VENTILATION REDUCTION OF COOLING LOAD","Zone Mechanical Ventilation Cooling Load Decrease"
"VENTILATION NO LOAD HEAT REMOVAL","Zone Mechanical Ventilation No Load Heat Removal"
"Zone-Total Internal Radiant Heat Gain","Zone Total Internal Radiant Heat Gain"
"Zone-Total Internal Convective Heat Gain","Zone Total Internal Convective Heat Gain"
"Zone-Total Internal Latent Gain","Zone Total Internal Latent Gain"
"Zone-Total Internal Lost Heat Gain","<DELETE>"
"Zone-Total Internal Visible Heat Gain","Zone Total Internal Visible Heat Gain"
"Lights-Radiant Heat Gain","Zone Lights Radiant Heat Gain"
"Lights-Convective Heat Gain","Zone Lights Convective Heat Gain"
"Lights-Visible Heat Gain","Zone Lights Visible Heat Gain"
"Lights-Return Air Heat Gain","Zone Lights Return Air Heat Gain"
"Lights-Total Heat Gain","Zone Lights Total Heat Gain"
"Lights-Electric Consumption","Zone Lights Electric Consumption"
"TaskLights-Radiant Heat Gain","Zone Task Lights Radiant Heat Gain"
"TaskLights-Convective Heat Gain","Zone Task Lights Convective Heat Gain"
"TaskLights-Visible Heat Gain","Zone Task Lights Visible Heat Gain"
"TaskLights-Return Air Heat Gain","Zone Task Lights Return Air Heat Gain"
"TaskLights-Total Heat Gain","Zone Task Lights Total Heat Gain"
"TaskLights-Electric Consumption","Zone Task Lights Electric Consumption"
"Electric Eq-Radiant Heat Gain","Zone Electric Equipment Radiant Heat Gain"
"Electric Eq-Convective Heat Gain","Zone Electric Equipment Convective Heat Gain"
"Electric Eq-Latent Heat Gain","Zone Electric Equipment Latent Heat Gain"
"Electric Eq-Lost Heat Gain","Zone Electric Equipment Lost Heat Gain"
"Electric Eq-Total Heat Gain","Zone Electric Equipment Total Heat Gain"
"Electric Eq-Consumption","Zone Electric Equipment Electric Consumption"
"Gas Eq-Radiant Heat Gain","Zone Gas Equipment Radiant Heat Gain"
"Gas Eq-Convective Heat Gain","Zone Gas Equipment Convective Heat Gain"
"Gas Eq-Latent Heat Gain","Zone Gas Equipment Latent Heat Gain"
