8.1.0.009,8.2,Transition notes
3,3,These numbers should be the number of report variables in the following list (including deletes). Two columns/numbers.
Zone Thermal Chimney Volume Flow Rate,Zone Thermal Chimney Current Density Air Volume Flow Rate,
Earth Tube Air Volume Flow Rate,Earth Tube Current Density Air Volume Flow Rate,
Zone Cooltower Air Volume Flow Rate,Zone Cooltower Current Density Air Volume Flow Rate,
old variable name,new variable name,-- add variable names (before this line) and leave off units -- <DELETE> to delete
